[2024-06-01T22:24:36] Estimation window: 2007-07-26 - 2011-07-13, Best order: (3, 0, 4)-(1, 1), AIC: -5.78536978889012, Final model FAILED to converge
[2024-06-01T22:25:42] Estimation window: 2007-07-27 - 2011-07-14, Best order: (2, 0, 3)-(1, 1), AIC: -5.7919549166487, Final model FAILED to converge
[2024-06-01T22:26:40] Estimation window: 2007-07-30 - 2011-07-15, Best order: (2, 0, 4)-(1, 1), AIC: -5.79349487309302, Final model converged
[2024-06-01T22:28:15] Estimation window: 2007-07-31 - 2011-07-18, Best order: (3, 0, 4)-(1, 1), AIC: -5.79274923986243, Final model converged
[2024-06-01T22:30:05] Estimation window: 2007-08-01 - 2011-07-19, Best order: (3, 0, 4)-(1, 1), AIC: -5.79202976522772, Final model converged
[2024-06-01T22:31:09] Estimation window: 2007-08-02 - 2011-07-20, Best order: (5, 0, 5)-(1, 1), AIC: -5.79957187939056, Final model converged
[2024-06-01T22:32:10] Estimation window: 2007-08-03 - 2011-07-21, Best order: (2, 0, 3)-(1, 1), AIC: -5.79522435545207, Final model converged
[2024-06-01T22:33:51] Estimation window: 2007-08-06 - 2011-07-22, Best order: (5, 0, 5)-(1, 1), AIC: -5.8140501423528, Final model FAILED to converge
[2024-06-01T22:34:53] Estimation window: 2007-08-07 - 2011-07-25, Best order: (4, 0, 3)-(1, 1), AIC: -5.79693895288044, Final model converged
[2024-06-01T22:36:33] Estimation window: 2007-08-08 - 2011-07-26, Best order: (3, 0, 2)-(1, 1), AIC: -5.79993181334123, Final model converged
[2024-06-01T22:38:14] Estimation window: 2007-08-09 - 2011-07-27, Best order: (3, 0, 2)-(1, 1), AIC: -5.79143906494773, Final model converged
[2024-06-01T22:39:18] Estimation window: 2007-08-10 - 2011-07-28, Best order: (4, 0, 5)-(1, 1), AIC: -5.80963538133639, Final model converged
[2024-06-01T22:40:18] Estimation window: 2007-08-13 - 2011-07-29, Best order: (5, 0, 4)-(1, 1), AIC: -5.79522731094643, Final model converged
[2024-06-01T22:41:18] Estimation window: 2007-08-14 - 2011-08-01, Best order: (3, 0, 2)-(1, 1), AIC: -5.80088041780236, Final model FAILED to converge
[2024-06-01T22:42:17] Estimation window: 2007-08-15 - 2011-08-02, Best order: (5, 0, 5)-(1, 1), AIC: -5.82696088009997, Final model FAILED to converge
[2024-06-01T22:44:33] Estimation window: 2007-08-16 - 2011-08-03, Best order: (4, 0, 5)-(1, 1), AIC: 161.420155748523, Final model FAILED to converge
[2024-06-01T22:46:06] Estimation window: 2007-08-17 - 2011-08-04, Best order: (4, 0, 5)-(1, 1), AIC: -5.78307291485567, Final model converged
[2024-06-01T22:47:51] Estimation window: 2007-08-20 - 2011-08-05, Best order: (4, 0, 3)-(1, 1), AIC: -5.78326250921821, Final model FAILED to converge
[2024-06-01T22:48:54] Estimation window: 2007-08-21 - 2011-08-08, Best order: (4, 0, 5)-(1, 1), AIC: -5.78302261506896, Final model converged
[2024-06-01T22:49:50] Estimation window: 2007-08-22 - 2011-08-09, Best order: (3, 0, 3)-(1, 1), AIC: -5.76831962742575, Final model converged
[2024-06-01T22:50:50] Estimation window: 2007-08-23 - 2011-08-10, Best order: (3, 0, 3)-(1, 1), AIC: -5.76394723591953, Final model converged
[2024-06-01T22:51:46] Estimation window: 2007-08-24 - 2011-08-11, Best order: (2, 0, 3)-(1, 1), AIC: -5.76247620654346, Final model converged
[2024-06-01T22:52:47] Estimation window: 2007-08-27 - 2011-08-12, Best order: (4, 0, 5)-(1, 1), AIC: -5.76529766715988, Final model FAILED to converge
[2024-06-01T22:53:44] Estimation window: 2007-08-28 - 2011-08-15, Best order: (4, 0, 2)-(1, 1), AIC: -5.77575458371029, Final model converged
[2024-06-01T22:54:38] Estimation window: 2007-08-29 - 2011-08-16, Best order: (5, 0, 2)-(1, 1), AIC: -5.77693876623361, Final model converged
[2024-06-01T22:56:19] Estimation window: 2007-08-30 - 2011-08-17, Best order: (5, 0, 5)-(1, 1), AIC: -5.75150796887059, Final model FAILED to converge
[2024-06-01T22:57:17] Estimation window: 2007-08-31 - 2011-08-18, Best order: (3, 0, 4)-(1, 1), AIC: -5.75262613887575, Final model converged
[2024-06-01T22:58:17] Estimation window: 2007-09-04 - 2011-08-19, Best order: (3, 0, 2)-(1, 1), AIC: -5.75496212183609, Final model FAILED to converge
