[2024-06-02T10:35:28] Estimation window: 2003-05-28 - 2007-05-16, Best order: (5, 0, 5)-(1, 1), AIC: -7.138781069961, Final model FAILED to converge
[2024-06-02T10:36:17] Estimation window: 2003-05-29 - 2007-05-17, Best order: (5, 0, 3)-(1, 1), AIC: -7.12607213785391, Final model converged
[2024-06-02T10:37:08] Estimation window: 2003-05-30 - 2007-05-18, Best order: (5, 0, 4)-(1, 1), AIC: -7.12603264883474, Final model converged
[2024-06-02T10:37:56] Estimation window: 2003-06-02 - 2007-05-21, Best order: (5, 0, 4)-(1, 1), AIC: -7.13355840117, Final model converged
[2024-06-02T10:38:40] Estimation window: 2003-06-03 - 2007-05-22, Best order: (4, 0, 2)-(1, 1), AIC: -7.13377191171919, Final model FAILED to converge
[2024-06-02T10:39:28] Estimation window: 2003-06-04 - 2007-05-23, Best order: (3, 0, 4)-(1, 1), AIC: -7.13355656262216, Final model converged
[2024-06-02T10:40:18] Estimation window: 2003-06-05 - 2007-05-24, Best order: (4, 0, 2)-(1, 1), AIC: -7.11587880542806, Final model converged
[2024-06-02T10:41:27] Estimation window: 2003-06-06 - 2007-05-25, Best order: (5, 0, 4)-(1, 1), AIC: -7.1279508809296, Final model converged
[2024-06-02T10:42:19] Estimation window: 2003-06-09 - 2007-05-29, Best order: (4, 0, 3)-(1, 1), AIC: -7.13151806551339, Final model converged
[2024-06-02T10:42:52] Estimation window: 2003-06-10 - 2007-05-30, Best order: (3, 0, 2)-(1, 1), AIC: -7.11890118325948, Final model converged
[2024-06-02T10:43:26] Estimation window: 2003-06-11 - 2007-05-31, Best order: (2, 0, 4)-(1, 1), AIC: -7.13940593958239, Final model converged
[2024-06-02T10:43:59] Estimation window: 2003-06-12 - 2007-06-01, Best order: (4, 0, 5)-(1, 1), AIC: -7.14956219727779, Final model converged
[2024-06-02T10:44:33] Estimation window: 2003-06-13 - 2007-06-04, Best order: (3, 0, 5)-(1, 1), AIC: -7.16060965584526, Final model converged
[2024-06-02T10:45:06] Estimation window: 2003-06-16 - 2007-06-05, Best order: (5, 0, 4)-(1, 1), AIC: -7.15764469556824, Final model converged
[2024-06-02T10:45:41] Estimation window: 2003-06-17 - 2007-06-06, Best order: (5, 0, 5)-(1, 1), AIC: -7.14905850864, Final model converged
[2024-06-02T10:46:36] Estimation window: 2003-06-18 - 2007-06-07, Best order: (3, 0, 3)-(1, 1), AIC: -7.16215493571682, Final model converged
[2024-06-02T10:47:09] Estimation window: 2003-06-19 - 2007-06-08, Best order: (4, 0, 4)-(1, 1), AIC: -7.13049513602243, Final model converged
[2024-06-02T10:47:41] Estimation window: 2003-06-20 - 2007-06-11, Best order: (2, 0, 3)-(1, 1), AIC: -7.14386614361414, Final model converged
[2024-06-02T10:48:29] Estimation window: 2003-06-23 - 2007-06-12, Best order: (5, 0, 4)-(1, 1), AIC: -7.12782237041715, Final model converged
[2024-06-02T10:49:45] Estimation window: 2003-06-24 - 2007-06-13, Best order: (5, 0, 3)-(1, 1), AIC: 512.170618334168, Final model FAILED to converge
[2024-06-02T10:50:18] Estimation window: 2003-06-25 - 2007-06-14, Best order: (4, 0, 5)-(1, 1), AIC: -7.12494544003877, Final model converged
[2024-06-02T10:50:54] Estimation window: 2003-06-26 - 2007-06-15, Best order: (4, 0, 5)-(1, 1), AIC: -7.15271925556868, Final model converged
[2024-06-02T10:51:26] Estimation window: 2003-06-27 - 2007-06-18, Best order: (2, 0, 3)-(1, 1), AIC: -7.12615036365636, Final model converged
[2024-06-02T10:52:19] Estimation window: 2003-06-30 - 2007-06-19, Best order: (5, 0, 4)-(1, 1), AIC: -7.15965080884596, Final model converged
[2024-06-02T10:53:03] Estimation window: 2003-07-01 - 2007-06-20, Best order: (4, 0, 5)-(1, 1), AIC: -7.12151317943262, Final model converged
[2024-06-02T10:54:03] Estimation window: 2003-07-02 - 2007-06-21, Best order: (4, 0, 4)-(1, 1), AIC: -7.13489749453476, Final model converged
[2024-06-02T10:55:19] Estimation window: 2003-07-03 - 2007-06-22, Best order: (4, 0, 5)-(1, 1), AIC: -7.11871848422899, Final model converged
[2024-06-02T10:55:52] Estimation window: 2003-07-07 - 2007-06-25, Best order: (5, 0, 5)-(1, 1), AIC: -7.15295566407149, Final model converged
[2024-06-02T10:56:25] Estimation window: 2003-07-08 - 2007-06-26, Best order: (3, 0, 5)-(1, 1), AIC: -7.12936831709934, Final model converged
[2024-06-02T10:57:20] Estimation window: 2003-07-09 - 2007-06-27, Best order: (3, 0, 3)-(1, 1), AIC: -7.1475258999458, Final model converged
[2024-06-02T10:58:35] Estimation window: 2003-07-10 - 2007-06-28, Best order: (4, 0, 5)-(1, 1), AIC: 326.531160175215, Final model FAILED to converge
[2024-06-02T10:59:35] Estimation window: 2003-07-11 - 2007-06-29, Best order: (5, 0, 3)-(1, 1), AIC: -7.14807753263493, Final model converged
[2024-06-02T11:00:12] Estimation window: 2003-07-14 - 2007-07-02, Best order: (4, 0, 3)-(1, 1), AIC: -7.13994026337576, Final model converged
[2024-06-02T11:00:44] Estimation window: 2003-07-15 - 2007-07-03, Best order: (3, 0, 4)-(1, 1), AIC: -7.13464917210761, Final model converged
[2024-06-02T11:01:17] Estimation window: 2003-07-16 - 2007-07-05, Best order: (4, 0, 4)-(1, 1), AIC: -7.1640225778712, Final model FAILED to converge
[2024-06-02T11:01:50] Estimation window: 2003-07-17 - 2007-07-06, Best order: (5, 0, 5)-(1, 1), AIC: -7.13956213208735, Final model converged
[2024-06-02T11:02:22] Estimation window: 2003-07-18 - 2007-07-09, Best order: (4, 0, 4)-(1, 1), AIC: -7.14628683160494, Final model FAILED to converge
[2024-06-02T11:02:58] Estimation window: 2003-07-21 - 2007-07-10, Best order: (5, 0, 5)-(1, 1), AIC: -7.17219129905397, Final model converged
[2024-06-02T11:03:38] Estimation window: 2003-07-22 - 2007-07-11, Best order: (5, 0, 4)-(1, 1), AIC: -7.13694362268404, Final model converged
[2024-06-02T11:04:33] Estimation window: 2003-07-23 - 2007-07-12, Best order: (1, 0, 1)-(1, 1), AIC: -7.1424807687567, Final model converged
[2024-06-02T11:05:06] Estimation window: 2003-07-24 - 2007-07-13, Best order: (3, 0, 5)-(1, 1), AIC: -7.13449477340895, Final model converged
[2024-06-02T11:05:39] Estimation window: 2003-07-25 - 2007-07-16, Best order: (3, 0, 5)-(1, 1), AIC: -7.13329026346482, Final model converged
[2024-06-02T11:06:11] Estimation window: 2003-07-28 - 2007-07-17, Best order: (1, 0, 1)-(1, 1), AIC: -7.14841723729054, Final model converged
[2024-06-02T11:06:56] Estimation window: 2003-07-29 - 2007-07-18, Best order: (3, 0, 3)-(1, 1), AIC: -7.14108021986212, Final model converged
[2024-06-02T11:07:27] Estimation window: 2003-07-30 - 2007-07-19, Best order: (5, 0, 5)-(1, 1), AIC: -7.13505656028214, Final model FAILED to converge
[2024-06-02T11:07:57] Estimation window: 2003-07-31 - 2007-07-20, Best order: (1, 0, 1)-(1, 1), AIC: -7.1467073276976, Final model converged
[2024-06-02T11:08:27] Estimation window: 2003-08-01 - 2007-07-23, Best order: (1, 0, 1)-(1, 1), AIC: -7.14559208443743, Final model converged
[2024-06-02T11:08:59] Estimation window: 2003-08-04 - 2007-07-24, Best order: (5, 0, 4)-(1, 1), AIC: -7.156014516232, Final model converged
[2024-06-02T11:09:33] Estimation window: 2003-08-05 - 2007-07-25, Best order: (3, 0, 4)-(1, 1), AIC: -7.13160405521371, Final model converged
[2024-06-02T11:10:42] Estimation window: 2003-08-06 - 2007-07-26, Best order: (4, 0, 4)-(1, 1), AIC: 165.046977374519, Final model FAILED to converge
[2024-06-02T11:11:22] Estimation window: 2003-08-07 - 2007-07-27, Best order: (5, 0, 5)-(1, 1), AIC: -7.17337669100672, Final model converged
[2024-06-02T11:11:55] Estimation window: 2003-08-08 - 2007-07-30, Best order: (2, 0, 2)-(1, 1), AIC: -7.13885521491424, Final model converged
[2024-06-02T11:12:49] Estimation window: 2003-08-11 - 2007-07-31, Best order: (5, 0, 4)-(1, 1), AIC: -7.13305949031104, Final model converged
[2024-06-02T11:13:48] Estimation window: 2003-08-12 - 2007-08-01, Best order: (5, 0, 4)-(1, 1), AIC: -7.14842117027883, Final model FAILED to converge
[2024-06-02T11:14:21] Estimation window: 2003-08-13 - 2007-08-02, Best order: (5, 0, 5)-(1, 1), AIC: -7.18042159717408, Final model FAILED to converge
[2024-06-02T11:15:10] Estimation window: 2003-08-14 - 2007-08-03, Best order: (5, 0, 4)-(1, 1), AIC: -7.12894847034283, Final model converged
[2024-06-02T11:15:43] Estimation window: 2003-08-15 - 2007-08-06, Best order: (3, 0, 4)-(1, 1), AIC: -7.12611056509711, Final model converged
[2024-06-02T11:16:21] Estimation window: 2003-08-18 - 2007-08-07, Best order: (4, 0, 5)-(1, 1), AIC: -7.12266477836562, Final model FAILED to converge
[2024-06-02T11:16:58] Estimation window: 2003-08-19 - 2007-08-08, Best order: (3, 0, 3)-(1, 1), AIC: -7.12314580873227, Final model converged
[2024-06-02T11:17:40] Estimation window: 2003-08-20 - 2007-08-09, Best order: (5, 0, 5)-(1, 1), AIC: -7.1072287999506, Final model FAILED to converge
[2024-06-02T11:18:14] Estimation window: 2003-08-21 - 2007-08-10, Best order: (4, 0, 4)-(1, 1), AIC: -7.14694655853385, Final model FAILED to converge
[2024-06-02T11:19:04] Estimation window: 2003-08-22 - 2007-08-13, Best order: (1, 0, 1)-(1, 1), AIC: -7.11713447500905, Final model converged
[2024-06-02T11:19:58] Estimation window: 2003-08-25 - 2007-08-14, Best order: (4, 0, 3)-(1, 1), AIC: -7.12220985949292, Final model converged
[2024-06-02T11:20:54] Estimation window: 2003-08-26 - 2007-08-15, Best order: (3, 0, 4)-(1, 1), AIC: -7.11559245988968, Final model converged
[2024-06-02T11:21:28] Estimation window: 2003-08-27 - 2007-08-16, Best order: (5, 0, 5)-(1, 1), AIC: -7.13719528490622, Final model FAILED to converge
[2024-06-02T11:21:59] Estimation window: 2003-08-28 - 2007-08-17, Best order: (5, 0, 5)-(1, 1), AIC: -7.13108885090911, Final model converged
[2024-06-02T11:22:31] Estimation window: 2003-08-29 - 2007-08-20, Best order: (5, 0, 4)-(1, 1), AIC: -7.12138834327496, Final model converged
[2024-06-02T11:23:04] Estimation window: 2003-09-02 - 2007-08-21, Best order: (4, 0, 4)-(1, 1), AIC: -7.12262070221142, Final model converged
[2024-06-02T11:23:39] Estimation window: 2003-09-03 - 2007-08-22, Best order: (5, 0, 5)-(1, 1), AIC: -7.12505108399502, Final model converged
[2024-06-02T11:24:45] Estimation window: 2003-09-04 - 2007-08-23, Best order: (5, 0, 2)-(1, 1), AIC: -7.12025865694895, Final model converged
[2024-06-02T11:25:19] Estimation window: 2003-09-05 - 2007-08-24, Best order: (5, 0, 3)-(1, 1), AIC: -7.0969951814471, Final model converged
[2024-06-02T11:25:52] Estimation window: 2003-09-08 - 2007-08-27, Best order: (5, 0, 5)-(1, 1), AIC: -7.11091467401054, Final model converged
[2024-06-02T11:26:24] Estimation window: 2003-09-09 - 2007-08-28, Best order: (5, 0, 5)-(1, 1), AIC: -7.10298512170124, Final model converged
[2024-06-02T11:26:57] Estimation window: 2003-09-10 - 2007-08-29, Best order: (5, 0, 5)-(1, 1), AIC: -7.14041426808394, Final model FAILED to converge
[2024-06-02T11:27:31] Estimation window: 2003-09-11 - 2007-08-30, Best order: (4, 0, 3)-(1, 1), AIC: -7.13192374303922, Final model converged
[2024-06-02T11:28:10] Estimation window: 2003-09-12 - 2007-08-31, Best order: (5, 0, 5)-(1, 1), AIC: -7.11238504584006, Final model converged
[2024-06-02T11:28:58] Estimation window: 2003-09-15 - 2007-09-04, Best order: (4, 0, 5)-(1, 1), AIC: -7.10074445758504, Final model converged
[2024-06-02T11:29:32] Estimation window: 2003-09-16 - 2007-09-05, Best order: (3, 0, 4)-(1, 1), AIC: -7.10489631183536, Final model converged
[2024-06-02T11:30:05] Estimation window: 2003-09-17 - 2007-09-06, Best order: (3, 0, 3)-(1, 1), AIC: -7.11122603072773, Final model converged
[2024-06-02T11:30:43] Estimation window: 2003-09-18 - 2007-09-07, Best order: (4, 0, 3)-(1, 1), AIC: -7.11115409021, Final model converged
[2024-06-02T11:31:15] Estimation window: 2003-09-19 - 2007-09-10, Best order: (3, 0, 5)-(1, 1), AIC: -7.0858635534591, Final model converged
[2024-06-02T11:31:48] Estimation window: 2003-09-22 - 2007-09-11, Best order: (4, 0, 4)-(1, 1), AIC: -7.10850083794257, Final model converged
[2024-06-02T11:32:21] Estimation window: 2003-09-23 - 2007-09-12, Best order: (5, 0, 4)-(1, 1), AIC: -7.08803820381192, Final model converged
[2024-06-02T11:33:00] Estimation window: 2003-09-24 - 2007-09-13, Best order: (4, 0, 5)-(1, 1), AIC: -7.08858564614842, Final model converged
[2024-06-02T11:33:34] Estimation window: 2003-09-25 - 2007-09-14, Best order: (2, 0, 4)-(1, 1), AIC: -7.09582387307592, Final model converged
[2024-06-02T11:34:07] Estimation window: 2003-09-26 - 2007-09-17, Best order: (5, 0, 5)-(1, 1), AIC: -7.11962970321267, Final model converged
[2024-06-02T11:34:40] Estimation window: 2003-09-29 - 2007-09-18, Best order: (5, 0, 5)-(1, 1), AIC: -7.12372196119377, Final model FAILED to converge
[2024-06-02T11:35:14] Estimation window: 2003-09-30 - 2007-09-19, Best order: (4, 0, 5)-(1, 1), AIC: -7.08751492610969, Final model converged
[2024-06-02T11:35:49] Estimation window: 2003-10-01 - 2007-09-20, Best order: (5, 0, 5)-(1, 1), AIC: -7.08464140195648, Final model converged
[2024-06-02T11:36:36] Estimation window: 2003-10-02 - 2007-09-21, Best order: (4, 0, 3)-(1, 1), AIC: -7.11540080990326, Final model converged
[2024-06-02T11:37:17] Estimation window: 2003-10-03 - 2007-09-24, Best order: (5, 0, 4)-(1, 1), AIC: -7.09587495094985, Final model converged
[2024-06-02T11:37:50] Estimation window: 2003-10-06 - 2007-09-25, Best order: (5, 0, 4)-(1, 1), AIC: -7.09682448987359, Final model converged
[2024-06-02T11:38:45] Estimation window: 2003-10-07 - 2007-09-26, Best order: (5, 0, 5)-(1, 1), AIC: -7.10647171125631, Final model converged
[2024-06-02T11:39:37] Estimation window: 2003-10-08 - 2007-09-27, Best order: (5, 0, 5)-(1, 1), AIC: -7.11847228282752, Final model converged
[2024-06-02T11:40:13] Estimation window: 2003-10-09 - 2007-09-28, Best order: (2, 0, 5)-(1, 1), AIC: -7.11573993140137, Final model converged
[2024-06-02T11:41:04] Estimation window: 2003-10-10 - 2007-10-01, Best order: (2, 0, 3)-(1, 1), AIC: -7.11203788077303, Final model converged
[2024-06-02T11:41:56] Estimation window: 2003-10-13 - 2007-10-02, Best order: (5, 0, 3)-(1, 1), AIC: -7.09251020014791, Final model converged
[2024-06-02T11:43:09] Estimation window: 2003-10-14 - 2007-10-03, Best order: (4, 0, 5)-(1, 1), AIC: 8.66118695434713, Final model FAILED to converge
[2024-06-02T11:43:54] Estimation window: 2003-10-15 - 2007-10-04, Best order: (1, 0, 5)-(1, 1), AIC: -7.09658441175632, Final model converged
[2024-06-02T11:44:31] Estimation window: 2003-10-16 - 2007-10-05, Best order: (4, 0, 5)-(1, 1), AIC: -7.11921252212892, Final model converged
[2024-06-02T11:45:35] Estimation window: 2003-10-17 - 2007-10-08, Best order: (3, 0, 5)-(1, 1), AIC: 642.712486083854, Final model converged
[2024-06-02T11:46:06] Estimation window: 2003-10-20 - 2007-10-09, Best order: (5, 0, 5)-(1, 1), AIC: -7.1098766512438, Final model FAILED to converge
[2024-06-02T11:47:26] Estimation window: 2003-10-21 - 2007-10-10, Best order: (5, 0, 5)-(1, 1), AIC: 300.761025106538, Final model FAILED to converge
[2024-06-02T11:47:57] Estimation window: 2003-10-22 - 2007-10-11, Best order: (1, 0, 5)-(1, 1), AIC: -7.09551595590191, Final model converged
[2024-06-02T11:48:53] Estimation window: 2003-10-23 - 2007-10-12, Best order: (5, 0, 4)-(1, 1), AIC: -7.11165579738101, Final model converged
[2024-06-02T11:49:30] Estimation window: 2003-10-24 - 2007-10-15, Best order: (4, 0, 5)-(1, 1), AIC: -7.12996749163639, Final model converged
[2024-06-02T11:50:02] Estimation window: 2003-10-27 - 2007-10-16, Best order: (5, 0, 5)-(1, 1), AIC: -7.11113116952885, Final model converged
[2024-06-02T11:50:55] Estimation window: 2003-10-28 - 2007-10-17, Best order: (1, 0, 5)-(1, 1), AIC: -7.09791354072647, Final model converged
[2024-06-02T11:51:37] Estimation window: 2003-10-29 - 2007-10-18, Best order: (5, 0, 4)-(1, 1), AIC: -7.1222844478883, Final model converged
[2024-06-02T11:52:23] Estimation window: 2003-10-30 - 2007-10-19, Best order: (4, 0, 5)-(1, 1), AIC: -7.10479217620294, Final model converged
[2024-06-02T11:53:23] Estimation window: 2003-10-31 - 2007-10-22, Best order: (5, 0, 5)-(1, 1), AIC: -7.12006738013907, Final model converged
[2024-06-02T11:54:22] Estimation window: 2003-11-03 - 2007-10-23, Best order: (4, 0, 5)-(1, 1), AIC: -7.09011054160558, Final model converged
[2024-06-02T11:55:36] Estimation window: 2003-11-04 - 2007-10-24, Best order: (1, 0, 5)-(1, 1), AIC: -7.10532096631543, Final model converged
[2024-06-02T11:56:16] Estimation window: 2003-11-05 - 2007-10-25, Best order: (3, 0, 2)-(1, 1), AIC: -7.10633062528532, Final model converged
[2024-06-02T11:57:01] Estimation window: 2003-11-06 - 2007-10-26, Best order: (5, 0, 4)-(1, 1), AIC: -7.09472824917532, Final model converged
[2024-06-02T11:57:38] Estimation window: 2003-11-07 - 2007-10-29, Best order: (5, 0, 3)-(1, 1), AIC: -7.08136578385913, Final model FAILED to converge
[2024-06-02T11:58:19] Estimation window: 2003-11-10 - 2007-10-30, Best order: (4, 0, 4)-(1, 1), AIC: -7.08029376257143, Final model converged
[2024-06-02T11:58:53] Estimation window: 2003-11-11 - 2007-10-31, Best order: (4, 0, 5)-(1, 1), AIC: -7.07725594010177, Final model converged
[2024-06-02T11:59:35] Estimation window: 2003-11-12 - 2007-11-01, Best order: (1, 0, 5)-(1, 1), AIC: -7.07213133468671, Final model converged
[2024-06-02T12:00:06] Estimation window: 2003-11-13 - 2007-11-02, Best order: (1, 0, 5)-(1, 1), AIC: -7.0735526127771, Final model converged
[2024-06-02T12:00:38] Estimation window: 2003-11-14 - 2007-11-05, Best order: (5, 0, 5)-(1, 1), AIC: -7.07698224141753, Final model converged
[2024-06-02T12:01:10] Estimation window: 2003-11-17 - 2007-11-06, Best order: (5, 0, 5)-(1, 1), AIC: -7.08002368084744, Final model FAILED to converge
[2024-06-02T12:01:47] Estimation window: 2003-11-18 - 2007-11-07, Best order: (5, 0, 4)-(1, 1), AIC: -7.06123341582417, Final model converged
[2024-06-02T12:02:50] Estimation window: 2003-11-19 - 2007-11-08, Best order: (5, 0, 5)-(1, 1), AIC: -7.05610653786142, Final model converged
[2024-06-02T12:03:40] Estimation window: 2003-11-20 - 2007-11-09, Best order: (5, 0, 2)-(1, 1), AIC: -7.05764114483057, Final model converged
[2024-06-02T12:04:50] Estimation window: 2003-11-21 - 2007-11-12, Best order: (4, 0, 5)-(1, 1), AIC: -7.05703018303895, Final model converged
[2024-06-02T12:06:01] Estimation window: 2003-11-24 - 2007-11-13, Best order: (3, 0, 5)-(1, 1), AIC: -7.06946085827545, Final model converged
[2024-06-02T12:07:19] Estimation window: 2003-11-25 - 2007-11-14, Best order: (4, 0, 4)-(1, 1), AIC: -7.05230315548285, Final model FAILED to converge
[2024-06-02T12:08:15] Estimation window: 2003-11-26 - 2007-11-15, Best order: (5, 0, 4)-(1, 1), AIC: -7.05483396620672, Final model converged
[2024-06-02T12:09:08] Estimation window: 2003-11-28 - 2007-11-16, Best order: (4, 0, 5)-(1, 1), AIC: -7.04755994766429, Final model converged
[2024-06-02T12:09:44] Estimation window: 2003-12-01 - 2007-11-19, Best order: (5, 0, 5)-(1, 1), AIC: -7.05826488965294, Final model converged
[2024-06-02T12:10:27] Estimation window: 2003-12-02 - 2007-11-20, Best order: (1, 0, 5)-(1, 1), AIC: -7.05062216145872, Final model converged
[2024-06-02T12:11:15] Estimation window: 2003-12-03 - 2007-11-21, Best order: (4, 0, 5)-(1, 1), AIC: -7.04498697421297, Final model converged
[2024-06-02T12:11:48] Estimation window: 2003-12-04 - 2007-11-23, Best order: (5, 0, 5)-(1, 1), AIC: -7.05445155180677, Final model converged
[2024-06-02T12:12:33] Estimation window: 2003-12-05 - 2007-11-26, Best order: (5, 0, 5)-(1, 1), AIC: -7.05467892027247, Final model converged
[2024-06-02T12:13:35] Estimation window: 2003-12-08 - 2007-11-27, Best order: (5, 0, 4)-(1, 1), AIC: -7.07525131293011, Final model converged
[2024-06-02T12:14:50] Estimation window: 2003-12-09 - 2007-11-28, Best order: (5, 0, 2)-(1, 1), AIC: -7.05320703704798, Final model converged
[2024-06-02T12:16:00] Estimation window: 2003-12-10 - 2007-11-29, Best order: (5, 0, 4)-(1, 1), AIC: -7.02864330018405, Final model converged
[2024-06-02T12:16:54] Estimation window: 2003-12-11 - 2007-11-30, Best order: (4, 0, 5)-(1, 1), AIC: -7.04769162936403, Final model converged
[2024-06-02T12:17:29] Estimation window: 2003-12-12 - 2007-12-03, Best order: (3, 0, 5)-(1, 1), AIC: -7.0471546369655, Final model converged
[2024-06-02T12:18:22] Estimation window: 2003-12-15 - 2007-12-04, Best order: (4, 0, 5)-(1, 1), AIC: -7.08008644705568, Final model converged
[2024-06-02T12:18:59] Estimation window: 2003-12-16 - 2007-12-05, Best order: (5, 0, 4)-(1, 1), AIC: -7.05067119271213, Final model FAILED to converge
[2024-06-02T12:19:58] Estimation window: 2003-12-17 - 2007-12-06, Best order: (5, 0, 4)-(1, 1), AIC: -7.05822022463333, Final model FAILED to converge
[2024-06-02T12:21:25] Estimation window: 2003-12-18 - 2007-12-07, Best order: (5, 0, 5)-(1, 1), AIC: 306.890999026976, Final model FAILED to converge
[2024-06-02T12:22:23] Estimation window: 2003-12-19 - 2007-12-10, Best order: (3, 0, 2)-(1, 1), AIC: -7.02881979247247, Final model converged
[2024-06-02T12:23:15] Estimation window: 2003-12-22 - 2007-12-11, Best order: (1, 0, 5)-(1, 1), AIC: -7.04546642199075, Final model converged
[2024-06-02T12:24:13] Estimation window: 2003-12-23 - 2007-12-12, Best order: (4, 0, 4)-(1, 1), AIC: -7.04029869100454, Final model FAILED to converge
