[2024-06-01T23:50:00] Estimation window: 2008-12-29 - 2012-12-17, Best order: (4, 0, 3)-(1, 1), AIC: -6.12145080144383, Final model converged
[2024-06-01T23:50:40] Estimation window: 2008-12-30 - 2012-12-18, Best order: (4, 0, 3)-(1, 1), AIC: -6.13230213509745, Final model converged
[2024-06-01T23:51:14] Estimation window: 2008-12-31 - 2012-12-19, Best order: (3, 0, 5)-(1, 1), AIC: -6.13124485545006, Final model converged
[2024-06-01T23:51:53] Estimation window: 2009-01-02 - 2012-12-20, Best order: (5, 0, 4)-(1, 1), AIC: -6.12609223130342, Final model converged
[2024-06-01T23:52:25] Estimation window: 2009-01-05 - 2012-12-21, Best order: (4, 0, 3)-(1, 1), AIC: -6.1257793309255, Final model converged
[2024-06-01T23:52:59] Estimation window: 2009-01-06 - 2012-12-24, Best order: (3, 0, 3)-(1, 1), AIC: -6.13385146191134, Final model converged
[2024-06-01T23:53:33] Estimation window: 2009-01-07 - 2012-12-26, Best order: (1, 0, 1)-(1, 1), AIC: -6.12744858362487, Final model converged
[2024-06-01T23:54:08] Estimation window: 2009-01-08 - 2012-12-27, Best order: (4, 0, 4)-(1, 1), AIC: -6.12900369096293, Final model converged
[2024-06-01T23:54:39] Estimation window: 2009-01-09 - 2012-12-28, Best order: (3, 0, 3)-(1, 1), AIC: -6.13078836427073, Final model converged
[2024-06-01T23:55:12] Estimation window: 2009-01-12 - 2012-12-31, Best order: (4, 0, 2)-(1, 1), AIC: -6.12316014453148, Final model converged
[2024-06-01T23:55:46] Estimation window: 2009-01-13 - 2013-01-02, Best order: (5, 0, 5)-(1, 1), AIC: -6.14108064017504, Final model converged
[2024-06-01T23:56:20] Estimation window: 2009-01-14 - 2013-01-03, Best order: (3, 0, 3)-(1, 1), AIC: -6.1241295320586, Final model converged
[2024-06-01T23:56:50] Estimation window: 2009-01-15 - 2013-01-04, Best order: (1, 0, 1)-(1, 1), AIC: -6.12628179781239, Final model converged
[2024-06-01T23:57:36] Estimation window: 2009-01-16 - 2013-01-07, Best order: (4, 0, 5)-(1, 1), AIC: -6.13394131005365, Final model converged
[2024-06-01T23:58:07] Estimation window: 2009-01-20 - 2013-01-08, Best order: (1, 0, 1)-(1, 1), AIC: -6.1303821897684, Final model converged
[2024-06-01T23:58:39] Estimation window: 2009-01-21 - 2013-01-09, Best order: (5, 0, 4)-(1, 1), AIC: -6.14506891416282, Final model converged
[2024-06-01T23:59:11] Estimation window: 2009-01-22 - 2013-01-10, Best order: (5, 0, 2)-(1, 1), AIC: -6.15697169364851, Final model converged
[2024-06-01T23:59:44] Estimation window: 2009-01-23 - 2013-01-11, Best order: (4, 0, 4)-(1, 1), AIC: -6.15631537437324, Final model converged
[2024-06-02T00:00:16] Estimation window: 2009-01-26 - 2013-01-14, Best order: (3, 0, 3)-(1, 1), AIC: -6.16127286548869, Final model converged
[2024-06-02T00:00:48] Estimation window: 2009-01-27 - 2013-01-15, Best order: (4, 0, 4)-(1, 1), AIC: -6.16498107778445, Final model converged
[2024-06-02T00:01:38] Estimation window: 2009-01-28 - 2013-01-16, Best order: (4, 0, 4)-(1, 1), AIC: -6.15285385805199, Final model FAILED to converge
[2024-06-02T00:02:10] Estimation window: 2009-01-29 - 2013-01-17, Best order: (3, 0, 5)-(1, 1), AIC: -6.16325978975149, Final model converged
[2024-06-02T00:02:42] Estimation window: 2009-01-30 - 2013-01-18, Best order: (3, 0, 3)-(1, 1), AIC: -6.17047843590985, Final model converged
[2024-06-02T00:03:15] Estimation window: 2009-02-02 - 2013-01-22, Best order: (4, 0, 5)-(1, 1), AIC: -6.16860696926719, Final model converged
[2024-06-02T00:04:23] Estimation window: 2009-02-03 - 2013-01-23, Best order: (5, 0, 3)-(1, 1), AIC: -6.18762832822131, Final model converged
[2024-06-02T00:05:22] Estimation window: 2009-02-04 - 2013-01-24, Best order: (5, 0, 5)-(1, 1), AIC: -6.17941505031105, Final model converged
[2024-06-02T00:06:02] Estimation window: 2009-02-05 - 2013-01-25, Best order: (4, 0, 4)-(1, 1), AIC: -6.19006098245801, Final model converged
[2024-06-02T00:06:34] Estimation window: 2009-02-06 - 2013-01-28, Best order: (5, 0, 2)-(1, 1), AIC: -6.17144362959602, Final model converged
[2024-06-02T00:07:07] Estimation window: 2009-02-09 - 2013-01-29, Best order: (5, 0, 4)-(1, 1), AIC: -6.20391212706881, Final model converged
[2024-06-02T00:07:41] Estimation window: 2009-02-10 - 2013-01-30, Best order: (3, 0, 2)-(1, 1), AIC: -6.20314925984066, Final model converged
[2024-06-02T00:08:13] Estimation window: 2009-02-11 - 2013-01-31, Best order: (5, 0, 5)-(1, 1), AIC: -6.19419434800029, Final model converged
[2024-06-02T00:08:45] Estimation window: 2009-02-12 - 2013-02-01, Best order: (4, 0, 4)-(1, 1), AIC: -6.1934723504682, Final model converged
[2024-06-02T00:09:18] Estimation window: 2009-02-13 - 2013-02-04, Best order: (5, 0, 3)-(1, 1), AIC: -6.19104314934556, Final model converged
[2024-06-02T00:09:49] Estimation window: 2009-02-17 - 2013-02-05, Best order: (5, 0, 5)-(1, 1), AIC: -6.21654894810011, Final model FAILED to converge
[2024-06-02T00:10:22] Estimation window: 2009-02-18 - 2013-02-06, Best order: (5, 0, 5)-(1, 1), AIC: -6.19751624175149, Final model converged
[2024-06-02T00:10:58] Estimation window: 2009-02-19 - 2013-02-07, Best order: (3, 0, 2)-(1, 1), AIC: -6.20826132327403, Final model converged
[2024-06-02T00:11:31] Estimation window: 2009-02-20 - 2013-02-08, Best order: (4, 0, 4)-(1, 1), AIC: -6.19782198833715, Final model converged
[2024-06-02T00:12:09] Estimation window: 2009-02-23 - 2013-02-11, Best order: (5, 0, 3)-(1, 1), AIC: -6.19940531309423, Final model converged
[2024-06-02T00:12:41] Estimation window: 2009-02-24 - 2013-02-12, Best order: (1, 0, 1)-(1, 1), AIC: -6.20843281267119, Final model converged
[2024-06-02T00:13:12] Estimation window: 2009-02-25 - 2013-02-13, Best order: (5, 0, 3)-(1, 1), AIC: -6.20426102943934, Final model converged
[2024-06-02T00:13:47] Estimation window: 2009-02-26 - 2013-02-14, Best order: (3, 0, 3)-(1, 1), AIC: -6.2239094148488, Final model converged
[2024-06-02T00:14:22] Estimation window: 2009-02-27 - 2013-02-15, Best order: (1, 0, 1)-(1, 1), AIC: -6.2229880068438, Final model converged
[2024-06-02T00:14:57] Estimation window: 2009-03-02 - 2013-02-19, Best order: (3, 0, 3)-(1, 1), AIC: -6.21890667739654, Final model converged
[2024-06-02T00:15:31] Estimation window: 2009-03-03 - 2013-02-20, Best order: (5, 0, 2)-(1, 1), AIC: -6.2247068819662, Final model converged
[2024-06-02T00:16:05] Estimation window: 2009-03-04 - 2013-02-21, Best order: (5, 0, 5)-(1, 1), AIC: -6.21593131990835, Final model converged
[2024-06-02T00:16:53] Estimation window: 2009-03-05 - 2013-02-22, Best order: (5, 0, 5)-(1, 1), AIC: -6.22630418125738, Final model converged
[2024-06-02T00:17:26] Estimation window: 2009-03-06 - 2013-02-25, Best order: (5, 0, 5)-(1, 1), AIC: -6.21146423569542, Final model converged
[2024-06-02T00:18:17] Estimation window: 2009-03-09 - 2013-02-26, Best order: (5, 0, 3)-(1, 1), AIC: -6.20824977890771, Final model converged
[2024-06-02T00:18:56] Estimation window: 2009-03-10 - 2013-02-27, Best order: (5, 0, 4)-(1, 1), AIC: -6.20757661324617, Final model converged
[2024-06-02T00:19:28] Estimation window: 2009-03-11 - 2013-02-28, Best order: (4, 0, 3)-(1, 1), AIC: -6.25379209336138, Final model converged
[2024-06-02T00:20:09] Estimation window: 2009-03-12 - 2013-03-01, Best order: (5, 0, 5)-(1, 1), AIC: -6.23187879192476, Final model converged
[2024-06-02T00:20:42] Estimation window: 2009-03-13 - 2013-03-04, Best order: (2, 0, 3)-(1, 1), AIC: -6.2455556190163, Final model converged
[2024-06-02T00:21:16] Estimation window: 2009-03-16 - 2013-03-05, Best order: (5, 0, 4)-(1, 1), AIC: -6.2517373320929, Final model converged
[2024-06-02T00:21:49] Estimation window: 2009-03-17 - 2013-03-06, Best order: (4, 0, 2)-(1, 1), AIC: -6.24622825069038, Final model converged
[2024-06-02T00:22:22] Estimation window: 2009-03-18 - 2013-03-07, Best order: (1, 0, 1)-(1, 1), AIC: -6.25365256748019, Final model converged
[2024-06-02T00:22:57] Estimation window: 2009-03-19 - 2013-03-08, Best order: (4, 0, 5)-(1, 1), AIC: -6.24508309856619, Final model converged
[2024-06-02T00:23:29] Estimation window: 2009-03-20 - 2013-03-11, Best order: (3, 0, 4)-(1, 1), AIC: -6.24330332988794, Final model converged
[2024-06-02T00:24:16] Estimation window: 2009-03-23 - 2013-03-12, Best order: (5, 0, 3)-(1, 1), AIC: -6.25784689374415, Final model converged
[2024-06-02T00:25:04] Estimation window: 2009-03-24 - 2013-03-13, Best order: (4, 0, 4)-(1, 1), AIC: -6.27577281943365, Final model converged
[2024-06-02T00:25:48] Estimation window: 2009-03-25 - 2013-03-14, Best order: (4, 0, 4)-(1, 1), AIC: -6.2838329816395, Final model converged
[2024-06-02T00:26:29] Estimation window: 2009-03-26 - 2013-03-15, Best order: (5, 0, 3)-(1, 1), AIC: -6.29887894719301, Final model converged
