[2024-06-02T10:35:44] Estimation window: 2008-04-18 - 2012-04-04, Best order: (1, 0, 1)-(1, 1), AIC: -5.7947181376653, Final model converged
[2024-06-02T10:36:14] Estimation window: 2008-04-21 - 2012-04-05, Best order: (1, 0, 1)-(1, 1), AIC: -5.79632122201802, Final model converged
[2024-06-02T10:36:45] Estimation window: 2008-04-22 - 2012-04-09, Best order: (1, 0, 1)-(1, 1), AIC: -5.79368636162441, Final model converged
[2024-06-02T10:37:22] Estimation window: 2008-04-23 - 2012-04-10, Best order: (4, 0, 5)-(1, 1), AIC: -5.79339855540309, Final model converged
[2024-06-02T10:37:57] Estimation window: 2008-04-24 - 2012-04-11, Best order: (5, 0, 5)-(1, 1), AIC: -5.79652529517665, Final model converged
[2024-06-02T10:38:35] Estimation window: 2008-04-25 - 2012-04-12, Best order: (4, 0, 5)-(1, 1), AIC: -5.78657189372684, Final model converged
[2024-06-02T10:39:07] Estimation window: 2008-04-28 - 2012-04-13, Best order: (5, 0, 5)-(1, 1), AIC: -5.79131543682472, Final model converged
[2024-06-02T10:39:37] Estimation window: 2008-04-29 - 2012-04-16, Best order: (5, 0, 5)-(1, 1), AIC: -5.79663296144998, Final model converged
[2024-06-02T10:40:49] Estimation window: 2008-04-30 - 2012-04-17, Best order: (2, 0, 3)-(1, 1), AIC: -5.78387348459815, Final model converged
[2024-06-02T10:41:28] Estimation window: 2008-05-01 - 2012-04-18, Best order: (5, 0, 3)-(1, 1), AIC: -5.77909861981427, Final model converged
[2024-06-02T10:42:00] Estimation window: 2008-05-02 - 2012-04-19, Best order: (1, 0, 1)-(1, 1), AIC: -5.79003241319438, Final model converged
[2024-06-02T10:42:30] Estimation window: 2008-05-05 - 2012-04-20, Best order: (4, 0, 5)-(1, 1), AIC: -5.80295627882199, Final model converged
[2024-06-02T10:43:01] Estimation window: 2008-05-06 - 2012-04-23, Best order: (4, 0, 5)-(1, 1), AIC: -5.80326436373914, Final model converged
[2024-06-02T10:43:32] Estimation window: 2008-05-07 - 2012-04-24, Best order: (2, 0, 2)-(1, 1), AIC: -5.78837367892643, Final model converged
[2024-06-02T10:44:02] Estimation window: 2008-05-08 - 2012-04-25, Best order: (3, 0, 3)-(1, 1), AIC: -5.7868359793936, Final model converged
[2024-06-02T10:44:34] Estimation window: 2008-05-09 - 2012-04-26, Best order: (4, 0, 2)-(1, 1), AIC: -5.78648583816875, Final model FAILED to converge
[2024-06-02T10:45:04] Estimation window: 2008-05-12 - 2012-04-27, Best order: (5, 0, 5)-(1, 1), AIC: -5.79402495964989, Final model converged
[2024-06-02T10:45:55] Estimation window: 2008-05-13 - 2012-04-30, Best order: (5, 0, 4)-(1, 1), AIC: -5.79866743885799, Final model converged
[2024-06-02T10:46:37] Estimation window: 2008-05-14 - 2012-05-01, Best order: (4, 0, 5)-(1, 1), AIC: -5.7930052514595, Final model converged
[2024-06-02T10:47:07] Estimation window: 2008-05-15 - 2012-05-02, Best order: (5, 0, 4)-(1, 1), AIC: -5.78869422130473, Final model converged
[2024-06-02T10:47:37] Estimation window: 2008-05-16 - 2012-05-03, Best order: (5, 0, 5)-(1, 1), AIC: -5.80783338134984, Final model converged
[2024-06-02T10:48:17] Estimation window: 2008-05-19 - 2012-05-04, Best order: (5, 0, 4)-(1, 1), AIC: -5.79128900309689, Final model FAILED to converge
[2024-06-02T10:48:47] Estimation window: 2008-05-20 - 2012-05-07, Best order: (4, 0, 5)-(1, 1), AIC: -5.80873575126938, Final model converged
[2024-06-02T10:49:18] Estimation window: 2008-05-21 - 2012-05-08, Best order: (4, 0, 5)-(1, 1), AIC: -5.79358176562921, Final model converged
[2024-06-02T10:50:03] Estimation window: 2008-05-22 - 2012-05-09, Best order: (3, 0, 3)-(1, 1), AIC: -5.79674425921498, Final model converged
[2024-06-02T10:50:46] Estimation window: 2008-05-23 - 2012-05-10, Best order: (2, 0, 2)-(1, 1), AIC: -5.79382927820884, Final model converged
[2024-06-02T10:51:16] Estimation window: 2008-05-27 - 2012-05-11, Best order: (4, 0, 4)-(1, 1), AIC: -5.79522321389012, Final model converged
[2024-06-02T10:51:48] Estimation window: 2008-05-28 - 2012-05-14, Best order: (4, 0, 2)-(1, 1), AIC: -5.79342598326406, Final model converged
[2024-06-02T10:52:20] Estimation window: 2008-05-29 - 2012-05-15, Best order: (5, 0, 5)-(1, 1), AIC: -5.80907207381579, Final model FAILED to converge
[2024-06-02T10:52:52] Estimation window: 2008-05-30 - 2012-05-16, Best order: (3, 0, 3)-(1, 1), AIC: -5.80031113181931, Final model converged
[2024-06-02T10:53:23] Estimation window: 2008-06-02 - 2012-05-17, Best order: (3, 0, 3)-(1, 1), AIC: -5.79838115546018, Final model converged
[2024-06-02T10:53:56] Estimation window: 2008-06-03 - 2012-05-18, Best order: (5, 0, 5)-(1, 1), AIC: -5.80536447991359, Final model converged
[2024-06-02T10:54:26] Estimation window: 2008-06-04 - 2012-05-21, Best order: (4, 0, 5)-(1, 1), AIC: -5.81780621617393, Final model converged
[2024-06-02T10:54:57] Estimation window: 2008-06-05 - 2012-05-22, Best order: (4, 0, 5)-(1, 1), AIC: -5.80320931372366, Final model converged
[2024-06-02T10:55:28] Estimation window: 2008-06-06 - 2012-05-23, Best order: (5, 0, 4)-(1, 1), AIC: -5.79964877360792, Final model converged
[2024-06-02T10:56:20] Estimation window: 2008-06-09 - 2012-05-24, Best order: (4, 0, 2)-(1, 1), AIC: -5.80651571248486, Final model FAILED to converge
[2024-06-02T10:57:19] Estimation window: 2008-06-10 - 2012-05-25, Best order: (2, 0, 3)-(1, 1), AIC: -5.80997773910925, Final model converged
[2024-06-02T10:57:53] Estimation window: 2008-06-11 - 2012-05-29, Best order: (3, 0, 5)-(1, 1), AIC: -5.81765786280873, Final model FAILED to converge
[2024-06-02T10:58:24] Estimation window: 2008-06-12 - 2012-05-30, Best order: (5, 0, 5)-(1, 1), AIC: -5.79879588352611, Final model converged
[2024-06-02T10:58:55] Estimation window: 2008-06-13 - 2012-05-31, Best order: (5, 0, 4)-(1, 1), AIC: -5.82615345372373, Final model converged
[2024-06-02T10:59:28] Estimation window: 2008-06-16 - 2012-06-01, Best order: (2, 0, 3)-(1, 1), AIC: -5.80008790735591, Final model FAILED to converge
[2024-06-02T11:00:22] Estimation window: 2008-06-17 - 2012-06-04, Best order: (4, 0, 2)-(1, 1), AIC: -5.80275503202496, Final model FAILED to converge
[2024-06-02T11:01:25] Estimation window: 2008-06-18 - 2012-06-05, Best order: (5, 0, 3)-(1, 1), AIC: -5.80290757526033, Final model converged
[2024-06-02T11:01:56] Estimation window: 2008-06-19 - 2012-06-06, Best order: (5, 0, 3)-(1, 1), AIC: -5.81195815039367, Final model converged
[2024-06-02T11:02:28] Estimation window: 2008-06-20 - 2012-06-07, Best order: (5, 0, 4)-(1, 1), AIC: -5.8104787143175, Final model converged
[2024-06-02T11:02:59] Estimation window: 2008-06-23 - 2012-06-08, Best order: (3, 0, 4)-(1, 1), AIC: -5.79643102270617, Final model converged
[2024-06-02T11:03:29] Estimation window: 2008-06-24 - 2012-06-11, Best order: (3, 0, 3)-(1, 1), AIC: -5.80948144636148, Final model converged
[2024-06-02T11:03:58] Estimation window: 2008-06-25 - 2012-06-12, Best order: (2, 0, 4)-(1, 1), AIC: -5.80310039575485, Final model converged
[2024-06-02T11:04:28] Estimation window: 2008-06-26 - 2012-06-13, Best order: (5, 0, 4)-(1, 1), AIC: -5.80230976569289, Final model converged
[2024-06-02T11:04:57] Estimation window: 2008-06-27 - 2012-06-14, Best order: (1, 0, 1)-(1, 1), AIC: -5.80492720428372, Final model converged
[2024-06-02T11:05:27] Estimation window: 2008-06-30 - 2012-06-15, Best order: (1, 0, 1)-(1, 1), AIC: -5.80486094385896, Final model converged
[2024-06-02T11:05:57] Estimation window: 2008-07-01 - 2012-06-18, Best order: (3, 0, 4)-(1, 1), AIC: -5.80665324075747, Final model converged
[2024-06-02T11:06:28] Estimation window: 2008-07-02 - 2012-06-19, Best order: (3, 0, 4)-(1, 1), AIC: -5.81908303129252, Final model converged
[2024-06-02T11:07:00] Estimation window: 2008-07-03 - 2012-06-20, Best order: (1, 0, 1)-(1, 1), AIC: -5.80781127475625, Final model converged
[2024-06-02T11:07:31] Estimation window: 2008-07-07 - 2012-06-21, Best order: (4, 0, 5)-(1, 1), AIC: -5.80492813611599, Final model FAILED to converge
[2024-06-02T11:08:02] Estimation window: 2008-07-08 - 2012-06-22, Best order: (5, 0, 5)-(1, 1), AIC: -5.80545027421564, Final model converged
[2024-06-02T11:08:40] Estimation window: 2008-07-09 - 2012-06-25, Best order: (4, 0, 2)-(1, 1), AIC: -5.80879004477563, Final model FAILED to converge
[2024-06-02T11:09:20] Estimation window: 2008-07-10 - 2012-06-26, Best order: (4, 0, 5)-(1, 1), AIC: -5.81558904115898, Final model converged
[2024-06-02T11:09:51] Estimation window: 2008-07-11 - 2012-06-27, Best order: (4, 0, 4)-(1, 1), AIC: -5.81030427644767, Final model converged
[2024-06-02T11:10:20] Estimation window: 2008-07-14 - 2012-06-28, Best order: (3, 0, 3)-(1, 1), AIC: -5.80914979983931, Final model converged
[2024-06-02T11:10:53] Estimation window: 2008-07-15 - 2012-06-29, Best order: (5, 0, 4)-(1, 1), AIC: -5.80161701873641, Final model converged
[2024-06-02T11:11:26] Estimation window: 2008-07-16 - 2012-07-02, Best order: (5, 0, 5)-(1, 1), AIC: -5.82641721250391, Final model converged
[2024-06-02T11:11:57] Estimation window: 2008-07-17 - 2012-07-03, Best order: (5, 0, 4)-(1, 1), AIC: -5.80547060039876, Final model FAILED to converge
[2024-06-02T11:12:27] Estimation window: 2008-07-18 - 2012-07-05, Best order: (3, 0, 3)-(1, 1), AIC: -5.81751931469761, Final model converged
[2024-06-02T11:12:58] Estimation window: 2008-07-21 - 2012-07-06, Best order: (4, 0, 3)-(1, 1), AIC: -5.80816651138023, Final model converged
[2024-06-02T11:13:28] Estimation window: 2008-07-22 - 2012-07-09, Best order: (2, 0, 4)-(1, 1), AIC: -5.80855874229784, Final model converged
[2024-06-02T11:13:58] Estimation window: 2008-07-23 - 2012-07-10, Best order: (5, 0, 5)-(1, 1), AIC: -5.80722949759988, Final model converged
[2024-06-02T11:14:28] Estimation window: 2008-07-24 - 2012-07-11, Best order: (4, 0, 5)-(1, 1), AIC: -5.80388316201391, Final model converged
[2024-06-02T11:14:58] Estimation window: 2008-07-25 - 2012-07-12, Best order: (4, 0, 4)-(1, 1), AIC: -5.81136842246079, Final model FAILED to converge
[2024-06-02T11:15:31] Estimation window: 2008-07-28 - 2012-07-13, Best order: (4, 0, 4)-(1, 1), AIC: -5.84270383308698, Final model converged
[2024-06-02T11:16:02] Estimation window: 2008-07-29 - 2012-07-16, Best order: (4, 0, 4)-(1, 1), AIC: -5.82200454782873, Final model FAILED to converge
[2024-06-02T11:16:33] Estimation window: 2008-07-30 - 2012-07-17, Best order: (3, 0, 3)-(1, 1), AIC: -5.81753310879107, Final model converged
[2024-06-02T11:17:07] Estimation window: 2008-07-31 - 2012-07-18, Best order: (2, 0, 4)-(1, 1), AIC: -5.82922327868916, Final model converged
[2024-06-02T11:17:39] Estimation window: 2008-08-01 - 2012-07-19, Best order: (3, 0, 3)-(1, 1), AIC: -5.81995002743811, Final model converged
[2024-06-02T11:18:11] Estimation window: 2008-08-04 - 2012-07-20, Best order: (3, 0, 3)-(1, 1), AIC: -5.82715639334987, Final model converged
[2024-06-02T11:18:44] Estimation window: 2008-08-05 - 2012-07-23, Best order: (5, 0, 5)-(1, 1), AIC: -5.83775507639683, Final model converged
[2024-06-02T11:19:14] Estimation window: 2008-08-06 - 2012-07-24, Best order: (3, 0, 3)-(1, 1), AIC: -5.82297584979912, Final model converged
[2024-06-02T11:19:46] Estimation window: 2008-08-07 - 2012-07-25, Best order: (2, 0, 4)-(1, 1), AIC: -5.8239557684375, Final model converged
[2024-06-02T11:20:17] Estimation window: 2008-08-08 - 2012-07-26, Best order: (4, 0, 2)-(1, 1), AIC: -5.83437227903224, Final model converged
[2024-06-02T11:20:49] Estimation window: 2008-08-11 - 2012-07-27, Best order: (5, 0, 3)-(1, 1), AIC: -5.82019986342786, Final model converged
[2024-06-02T11:21:19] Estimation window: 2008-08-12 - 2012-07-30, Best order: (3, 0, 3)-(1, 1), AIC: -5.83471474478522, Final model converged
[2024-06-02T11:21:50] Estimation window: 2008-08-13 - 2012-07-31, Best order: (3, 0, 2)-(1, 1), AIC: -5.82639561441418, Final model FAILED to converge
[2024-06-02T11:23:01] Estimation window: 2008-08-14 - 2012-08-01, Best order: (3, 0, 3)-(1, 1), AIC: -5.82567156466573, Final model converged
[2024-06-02T11:23:34] Estimation window: 2008-08-15 - 2012-08-02, Best order: (5, 0, 5)-(1, 1), AIC: -5.83271782568076, Final model converged
[2024-06-02T11:24:07] Estimation window: 2008-08-18 - 2012-08-03, Best order: (5, 0, 5)-(1, 1), AIC: -5.84281894046348, Final model converged
[2024-06-02T11:24:38] Estimation window: 2008-08-19 - 2012-08-06, Best order: (3, 0, 4)-(1, 1), AIC: -5.82566582410349, Final model FAILED to converge
[2024-06-02T11:25:09] Estimation window: 2008-08-20 - 2012-08-07, Best order: (5, 0, 5)-(1, 1), AIC: -5.82170157881051, Final model converged
[2024-06-02T11:25:41] Estimation window: 2008-08-21 - 2012-08-08, Best order: (3, 0, 3)-(1, 1), AIC: -5.82947803588644, Final model converged
[2024-06-02T11:26:14] Estimation window: 2008-08-22 - 2012-08-09, Best order: (5, 0, 4)-(1, 1), AIC: -5.83027870016775, Final model converged
[2024-06-02T11:26:45] Estimation window: 2008-08-25 - 2012-08-10, Best order: (3, 0, 3)-(1, 1), AIC: -5.83218908853047, Final model converged
[2024-06-02T11:27:19] Estimation window: 2008-08-26 - 2012-08-13, Best order: (5, 0, 5)-(1, 1), AIC: -5.82877192915912, Final model converged
[2024-06-02T11:27:51] Estimation window: 2008-08-27 - 2012-08-14, Best order: (5, 0, 5)-(1, 1), AIC: -5.83695969964842, Final model converged
[2024-06-02T11:28:24] Estimation window: 2008-08-28 - 2012-08-15, Best order: (4, 0, 4)-(1, 1), AIC: -5.83494747411314, Final model converged
[2024-06-02T11:28:57] Estimation window: 2008-08-29 - 2012-08-16, Best order: (5, 0, 5)-(1, 1), AIC: -5.84742720640028, Final model converged
