[2024-06-01T23:16:26] Estimation window: 2008-04-18 - 2012-04-04, Best order: (1, 0, 1)-(1, 1), AIC: -5.7947181376653, Final model converged
[2024-06-01T23:16:56] Estimation window: 2008-04-21 - 2012-04-05, Best order: (1, 0, 1)-(1, 1), AIC: -5.79632122201802, Final model converged
[2024-06-01T23:17:27] Estimation window: 2008-04-22 - 2012-04-09, Best order: (1, 0, 1)-(1, 1), AIC: -5.79368636162441, Final model converged
[2024-06-01T23:18:05] Estimation window: 2008-04-23 - 2012-04-10, Best order: (4, 0, 5)-(1, 1), AIC: -5.79339855540309, Final model converged
[2024-06-01T23:18:40] Estimation window: 2008-04-24 - 2012-04-11, Best order: (5, 0, 5)-(1, 1), AIC: -5.79652529517665, Final model converged
[2024-06-01T23:19:17] Estimation window: 2008-04-25 - 2012-04-12, Best order: (4, 0, 5)-(1, 1), AIC: -5.78657189372684, Final model converged
[2024-06-01T23:19:49] Estimation window: 2008-04-28 - 2012-04-13, Best order: (5, 0, 5)-(1, 1), AIC: -5.79131543682472, Final model converged
[2024-06-01T23:20:20] Estimation window: 2008-04-29 - 2012-04-16, Best order: (5, 0, 5)-(1, 1), AIC: -5.79663296144998, Final model converged
[2024-06-01T23:21:32] Estimation window: 2008-04-30 - 2012-04-17, Best order: (2, 0, 3)-(1, 1), AIC: -5.78387348459815, Final model converged
[2024-06-01T23:22:11] Estimation window: 2008-05-01 - 2012-04-18, Best order: (5, 0, 3)-(1, 1), AIC: -5.77909861981427, Final model converged
[2024-06-01T23:22:42] Estimation window: 2008-05-02 - 2012-04-19, Best order: (1, 0, 1)-(1, 1), AIC: -5.79003241319438, Final model converged
[2024-06-01T23:23:13] Estimation window: 2008-05-05 - 2012-04-20, Best order: (4, 0, 5)-(1, 1), AIC: -5.80295627882199, Final model converged
[2024-06-01T23:23:43] Estimation window: 2008-05-06 - 2012-04-23, Best order: (4, 0, 5)-(1, 1), AIC: -5.80326436373914, Final model converged
[2024-06-01T23:24:14] Estimation window: 2008-05-07 - 2012-04-24, Best order: (2, 0, 2)-(1, 1), AIC: -5.78837367892643, Final model converged
[2024-06-01T23:24:44] Estimation window: 2008-05-08 - 2012-04-25, Best order: (3, 0, 3)-(1, 1), AIC: -5.7868359793936, Final model converged
[2024-06-01T23:25:16] Estimation window: 2008-05-09 - 2012-04-26, Best order: (4, 0, 2)-(1, 1), AIC: -5.78648583816875, Final model FAILED to converge
