[2024-05-31T23:52:12] Estimation window: 2007-08-07 - 2011-07-25, Best order: (4, 0, 5), AIC: -5314.02, Final model converged
[2024-05-31T23:52:35] Estimation window: 2007-08-08 - 2011-07-26, Best order: (2, 0, 5), AIC: -5314.58, Final model converged
[2024-05-31T23:52:58] Estimation window: 2007-08-09 - 2011-07-27, Best order: (2, 0, 5), AIC: -5313.58, Final model converged
[2024-05-31T23:53:19] Estimation window: 2007-08-10 - 2011-07-28, Best order: (2, 0, 5), AIC: -5316.19, Final model converged
[2024-05-31T23:53:39] Estimation window: 2007-08-13 - 2011-07-29, Best order: (2, 0, 5), AIC: -5315.68, Final model converged
[2024-05-31T23:54:01] Estimation window: 2007-08-14 - 2011-08-01, Best order: (2, 0, 5), AIC: -5315.88, Final model converged
[2024-05-31T23:54:24] Estimation window: 2007-08-15 - 2011-08-02, Best order: (2, 0, 5), AIC: -5314.71, Final model converged
[2024-05-31T23:54:46] Estimation window: 2007-08-16 - 2011-08-03, Best order: (2, 0, 5), AIC: -5314.48, Final model converged
[2024-05-31T23:55:10] Estimation window: 2007-08-17 - 2011-08-04, Best order: (2, 0, 5), AIC: -5303.67, Final model converged
[2024-05-31T23:55:33] Estimation window: 2007-08-20 - 2011-08-05, Best order: (2, 0, 5), AIC: -5305.97, Final model converged
[2024-05-31T23:55:57] Estimation window: 2007-08-21 - 2011-08-08, Best order: (5, 0, 2), AIC: -5285.94, Final model converged
[2024-05-31T23:56:23] Estimation window: 2007-08-22 - 2011-08-09, Best order: (5, 0, 2), AIC: -5278.52, Final model converged
[2024-05-31T23:56:52] Estimation window: 2007-08-23 - 2011-08-10, Best order: (4, 0, 5), AIC: -5271.79, Final model converged
[2024-05-31T23:57:17] Estimation window: 2007-08-24 - 2011-08-11, Best order: (4, 0, 5), AIC: -5263.88, Final model converged
[2024-05-31T23:57:40] Estimation window: 2007-08-27 - 2011-08-12, Best order: (4, 0, 5), AIC: -5263.92, Final model converged
[2024-05-31T23:58:04] Estimation window: 2007-08-28 - 2011-08-15, Best order: (2, 0, 3), AIC: -5264.31, Final model converged
[2024-05-31T23:58:29] Estimation window: 2007-08-29 - 2011-08-16, Best order: (2, 0, 3), AIC: -5265.69, Final model converged
[2024-05-31T23:58:54] Estimation window: 2007-08-30 - 2011-08-17, Best order: (3, 0, 3), AIC: -5266.96, Final model converged
[2024-05-31T23:59:19] Estimation window: 2007-08-31 - 2011-08-18, Best order: (2, 0, 3), AIC: -5260.85, Final model converged
[2024-05-31T23:59:43] Estimation window: 2007-09-04 - 2011-08-19, Best order: (3, 0, 3), AIC: -5259.63, Final model converged
[2024-06-01T00:00:08] Estimation window: 2007-09-05 - 2011-08-22, Best order: (3, 0, 3), AIC: -5259.67, Final model converged
[2024-06-01T00:00:31] Estimation window: 2007-09-06 - 2011-08-23, Best order: (3, 0, 3), AIC: -5255.63, Final model converged
[2024-06-01T00:00:54] Estimation window: 2007-09-07 - 2011-08-24, Best order: (3, 0, 3), AIC: -5254.86, Final model converged
[2024-06-01T00:01:16] Estimation window: 2007-09-10 - 2011-08-25, Best order: (3, 0, 3), AIC: -5255.35, Final model converged
[2024-06-01T00:01:40] Estimation window: 2007-09-11 - 2011-08-26, Best order: (3, 0, 3), AIC: -5254.47, Final model converged
[2024-06-01T00:02:04] Estimation window: 2007-09-12 - 2011-08-29, Best order: (3, 0, 3), AIC: -5252.14, Final model converged
[2024-06-01T00:02:29] Estimation window: 2007-09-13 - 2011-08-30, Best order: (3, 0, 3), AIC: -5252.11, Final model converged
[2024-06-01T00:02:56] Estimation window: 2007-09-14 - 2011-08-31, Best order: (3, 0, 3), AIC: -5252.14, Final model converged
[2024-06-01T00:03:21] Estimation window: 2007-09-17 - 2011-09-01, Best order: (3, 0, 3), AIC: -5252.01, Final model converged
[2024-06-01T00:03:45] Estimation window: 2007-09-18 - 2011-09-02, Best order: (3, 0, 3), AIC: -5249.42, Final model converged
[2024-06-01T00:04:09] Estimation window: 2007-09-19 - 2011-09-06, Best order: (3, 0, 3), AIC: -5251.25, Final model converged
[2024-06-01T00:04:29] Estimation window: 2007-09-20 - 2011-09-07, Best order: (2, 0, 3), AIC: -5246.59, Final model converged
[2024-06-01T00:04:57] Estimation window: 2007-09-21 - 2011-09-08, Best order: (4, 0, 3), AIC: -5247.65, Final model converged
[2024-06-01T00:05:24] Estimation window: 2007-09-24 - 2011-09-09, Best order: (4, 0, 3), AIC: -5244.84, Final model converged
[2024-06-01T00:05:44] Estimation window: 2007-09-25 - 2011-09-12, Best order: (2, 0, 3), AIC: -5243.93, Final model converged
[2024-06-01T00:06:04] Estimation window: 2007-09-26 - 2011-09-13, Best order: (2, 0, 3), AIC: -5243.44, Final model converged
