[2024-05-31T23:54:26] Estimation window: 2008-04-18 - 2012-04-04, Best order: (4, 0, 5), AIC: -5245.26, Final model converged
[2024-05-31T23:54:48] Estimation window: 2008-04-21 - 2012-04-05, Best order: (4, 0, 5), AIC: -5246.18, Final model converged
[2024-05-31T23:55:11] Estimation window: 2008-04-22 - 2012-04-09, Best order: (4, 0, 5), AIC: -5245.71, Final model converged
[2024-05-31T23:55:35] Estimation window: 2008-04-23 - 2012-04-10, Best order: (4, 0, 5), AIC: -5244.93, Final model converged
[2024-05-31T23:56:01] Estimation window: 2008-04-24 - 2012-04-11, Best order: (4, 0, 5), AIC: -5244.88, Final model converged
[2024-05-31T23:56:24] Estimation window: 2008-04-25 - 2012-04-12, Best order: (4, 0, 5), AIC: -5244.28, Final model converged
[2024-05-31T23:56:46] Estimation window: 2008-04-28 - 2012-04-13, Best order: (4, 0, 5), AIC: -5244.27, Final model converged
[2024-05-31T23:57:08] Estimation window: 2008-04-29 - 2012-04-16, Best order: (5, 0, 4), AIC: -5244.12, Final model converged
[2024-05-31T23:57:30] Estimation window: 2008-04-30 - 2012-04-17, Best order: (4, 0, 5), AIC: -5243.87, Final model converged
[2024-05-31T23:57:52] Estimation window: 2008-05-01 - 2012-04-18, Best order: (4, 0, 5), AIC: -5243.86, Final model converged
[2024-05-31T23:58:14] Estimation window: 2008-05-02 - 2012-04-19, Best order: (5, 0, 4), AIC: -5244.55, Final model converged
[2024-05-31T23:58:33] Estimation window: 2008-05-05 - 2012-04-20, Best order: (5, 0, 4), AIC: -5244.55, Final model converged
[2024-05-31T23:58:56] Estimation window: 2008-05-06 - 2012-04-23, Best order: (4, 0, 5), AIC: -5244.56, Final model converged
[2024-05-31T23:59:18] Estimation window: 2008-05-07 - 2012-04-24, Best order: (4, 0, 5), AIC: -5244.71, Final model converged
[2024-05-31T23:59:41] Estimation window: 2008-05-08 - 2012-04-25, Best order: (4, 0, 5), AIC: -5245.2, Final model converged
[2024-06-01T00:00:03] Estimation window: 2008-05-09 - 2012-04-26, Best order: (4, 0, 5), AIC: -5245.1, Final model converged
[2024-06-01T00:00:27] Estimation window: 2008-05-12 - 2012-04-27, Best order: (4, 0, 5), AIC: -5245.13, Final model converged
[2024-06-01T00:00:48] Estimation window: 2008-05-13 - 2012-04-30, Best order: (4, 0, 5), AIC: -5245.28, Final model converged
[2024-06-01T00:01:10] Estimation window: 2008-05-14 - 2012-05-01, Best order: (5, 0, 4), AIC: -5245.18, Final model converged
[2024-06-01T00:01:32] Estimation window: 2008-05-15 - 2012-05-02, Best order: (5, 0, 4), AIC: -5245.23, Final model converged
[2024-06-01T00:01:52] Estimation window: 2008-05-16 - 2012-05-03, Best order: (5, 0, 4), AIC: -5245.6, Final model converged
[2024-06-01T00:02:12] Estimation window: 2008-05-19 - 2012-05-04, Best order: (4, 0, 5), AIC: -5244.57, Final model converged
[2024-06-01T00:02:35] Estimation window: 2008-05-20 - 2012-05-07, Best order: (4, 0, 5), AIC: -5244.52, Final model converged
[2024-06-01T00:02:54] Estimation window: 2008-05-21 - 2012-05-08, Best order: (4, 0, 5), AIC: -5244.65, Final model converged
[2024-06-01T00:03:14] Estimation window: 2008-05-22 - 2012-05-09, Best order: (4, 0, 5), AIC: -5245.65, Final model converged
[2024-06-01T00:03:35] Estimation window: 2008-05-23 - 2012-05-10, Best order: (4, 0, 5), AIC: -5245.66, Final model converged
[2024-06-01T00:03:55] Estimation window: 2008-05-27 - 2012-05-11, Best order: (4, 0, 5), AIC: -5246.32, Final model converged
[2024-06-01T00:04:17] Estimation window: 2008-05-28 - 2012-05-14, Best order: (4, 0, 5), AIC: -5246.36, Final model converged
[2024-06-01T00:04:39] Estimation window: 2008-05-29 - 2012-05-15, Best order: (4, 0, 5), AIC: -5246.19, Final model converged
[2024-06-01T00:05:00] Estimation window: 2008-05-30 - 2012-05-16, Best order: (5, 0, 4), AIC: -5246.19, Final model converged
[2024-06-01T00:05:24] Estimation window: 2008-06-02 - 2012-05-17, Best order: (5, 0, 4), AIC: -5245.19, Final model converged
[2024-06-01T00:05:41] Estimation window: 2008-06-03 - 2012-05-18, Best order: (5, 0, 4), AIC: -5245.31, Final model converged
[2024-06-01T00:06:01] Estimation window: 2008-06-04 - 2012-05-21, Best order: (5, 0, 4), AIC: -5244.7, Final model converged
[2024-06-01T00:06:21] Estimation window: 2008-06-05 - 2012-05-22, Best order: (4, 0, 5), AIC: -5244.66, Final model converged
[2024-06-01T00:06:40] Estimation window: 2008-06-06 - 2012-05-23, Best order: (5, 0, 4), AIC: -5245.24, Final model converged
[2024-06-01T00:06:57] Estimation window: 2008-06-09 - 2012-05-24, Best order: (5, 0, 4), AIC: -5248.04, Final model converged
[2024-06-01T00:07:14] Estimation window: 2008-06-10 - 2012-05-25, Best order: (4, 0, 5), AIC: -5248.19, Final model converged
[2024-06-01T00:07:32] Estimation window: 2008-06-11 - 2012-05-29, Best order: (4, 0, 5), AIC: -5247.93, Final model converged
[2024-06-01T00:07:50] Estimation window: 2008-06-12 - 2012-05-30, Best order: (4, 0, 5), AIC: -5248.12, Final model converged
[2024-06-01T00:08:08] Estimation window: 2008-06-13 - 2012-05-31, Best order: (4, 0, 5), AIC: -5248.24, Final model converged
[2024-06-01T00:08:29] Estimation window: 2008-06-16 - 2012-06-01, Best order: (4, 0, 5), AIC: -5246.5, Final model converged
[2024-06-01T00:08:53] Estimation window: 2008-06-17 - 2012-06-04, Best order: (4, 0, 5), AIC: -5246.52, Final model converged
[2024-06-01T00:09:19] Estimation window: 2008-06-18 - 2012-06-05, Best order: (4, 0, 5), AIC: -5246.69, Final model converged
[2024-06-01T00:09:51] Estimation window: 2008-06-19 - 2012-06-06, Best order: (4, 0, 5), AIC: -5244.59, Final model converged
[2024-06-01T00:10:28] Estimation window: 2008-06-20 - 2012-06-07, Best order: (4, 0, 5), AIC: -5244.57, Final model converged
[2024-06-01T00:11:02] Estimation window: 2008-06-23 - 2012-06-08, Best order: (4, 0, 5), AIC: -5246.14, Final model converged
[2024-06-01T00:11:43] Estimation window: 2008-06-24 - 2012-06-11, Best order: (4, 0, 5), AIC: -5245.74, Final model converged
[2024-06-01T00:12:17] Estimation window: 2008-06-25 - 2012-06-12, Best order: (3, 0, 3), AIC: -5243.85, Final model converged
[2024-06-01T00:12:49] Estimation window: 2008-06-26 - 2012-06-13, Best order: (4, 0, 5), AIC: -5245.5, Final model converged
[2024-06-01T00:13:26] Estimation window: 2008-06-27 - 2012-06-14, Best order: (4, 0, 5), AIC: -5247.76, Final model converged
[2024-06-01T00:14:02] Estimation window: 2008-06-30 - 2012-06-15, Best order: (4, 0, 5), AIC: -5247.33, Final model converged
[2024-06-01T00:14:35] Estimation window: 2008-07-01 - 2012-06-18, Best order: (4, 0, 5), AIC: -5247.38, Final model converged
[2024-06-01T00:15:10] Estimation window: 2008-07-02 - 2012-06-19, Best order: (4, 0, 5), AIC: -5247.07, Final model converged
[2024-06-01T00:15:39] Estimation window: 2008-07-03 - 2012-06-20, Best order: (3, 0, 3), AIC: -5247.54, Final model converged
[2024-06-01T00:16:14] Estimation window: 2008-07-07 - 2012-06-21, Best order: (4, 0, 5), AIC: -5246.61, Final model converged
[2024-06-01T00:16:48] Estimation window: 2008-07-08 - 2012-06-22, Best order: (4, 0, 5), AIC: -5246.78, Final model converged
[2024-06-01T00:17:23] Estimation window: 2008-07-09 - 2012-06-25, Best order: (4, 0, 5), AIC: -5246.57, Final model converged
[2024-06-01T00:17:57] Estimation window: 2008-07-10 - 2012-06-26, Best order: (4, 0, 5), AIC: -5248.24, Final model converged
[2024-06-01T00:18:33] Estimation window: 2008-07-11 - 2012-06-27, Best order: (4, 0, 5), AIC: -5248.29, Final model converged
[2024-06-01T00:19:06] Estimation window: 2008-07-14 - 2012-06-28, Best order: (4, 0, 5), AIC: -5248.9, Final model converged
[2024-06-01T00:19:38] Estimation window: 2008-07-15 - 2012-06-29, Best order: (2, 0, 3), AIC: -5247.72, Final model converged
[2024-06-01T00:20:14] Estimation window: 2008-07-16 - 2012-07-02, Best order: (4, 0, 5), AIC: -5247.56, Final model converged
[2024-06-01T00:20:48] Estimation window: 2008-07-17 - 2012-07-03, Best order: (3, 0, 3), AIC: -5249.89, Final model converged
[2024-06-01T00:21:24] Estimation window: 2008-07-18 - 2012-07-05, Best order: (3, 0, 3), AIC: -5249.86, Final model converged
[2024-06-01T00:21:59] Estimation window: 2008-07-21 - 2012-07-06, Best order: (3, 0, 3), AIC: -5249.61, Final model converged
[2024-06-01T00:22:34] Estimation window: 2008-07-22 - 2012-07-09, Best order: (3, 0, 3), AIC: -5249.84, Final model converged
[2024-06-01T00:23:11] Estimation window: 2008-07-23 - 2012-07-10, Best order: (2, 0, 3), AIC: -5250.39, Final model converged
[2024-06-01T00:23:48] Estimation window: 2008-07-24 - 2012-07-11, Best order: (4, 0, 5), AIC: -5249.72, Final model converged
[2024-06-01T00:24:26] Estimation window: 2008-07-25 - 2012-07-12, Best order: (4, 0, 5), AIC: -5251.6, Final model converged
[2024-06-01T00:25:00] Estimation window: 2008-07-28 - 2012-07-13, Best order: (4, 0, 5), AIC: -5250.59, Final model converged
[2024-06-01T00:25:35] Estimation window: 2008-07-29 - 2012-07-16, Best order: (4, 0, 5), AIC: -5251.27, Final model converged
[2024-06-01T00:26:10] Estimation window: 2008-07-30 - 2012-07-17, Best order: (2, 0, 3), AIC: -5255.57, Final model converged
[2024-06-01T00:26:45] Estimation window: 2008-07-31 - 2012-07-18, Best order: (2, 0, 3), AIC: -5256.08, Final model converged
[2024-06-01T00:27:17] Estimation window: 2008-08-01 - 2012-07-19, Best order: (2, 0, 3), AIC: -5257.93, Final model converged
[2024-06-01T00:27:50] Estimation window: 2008-08-04 - 2012-07-20, Best order: (2, 0, 3), AIC: -5257.64, Final model converged
[2024-06-01T00:28:22] Estimation window: 2008-08-05 - 2012-07-23, Best order: (2, 0, 3), AIC: -5257.27, Final model converged
[2024-06-01T00:28:53] Estimation window: 2008-08-06 - 2012-07-24, Best order: (2, 0, 3), AIC: -5257.98, Final model converged
[2024-06-01T00:29:25] Estimation window: 2008-08-07 - 2012-07-25, Best order: (2, 0, 3), AIC: -5258.07, Final model converged
[2024-06-01T00:29:55] Estimation window: 2008-08-08 - 2012-07-26, Best order: (2, 0, 3), AIC: -5257.4, Final model converged
[2024-06-01T00:30:29] Estimation window: 2008-08-11 - 2012-07-27, Best order: (2, 0, 3), AIC: -5256.74, Final model converged
[2024-06-01T00:31:02] Estimation window: 2008-08-12 - 2012-07-30, Best order: (2, 0, 3), AIC: -5256.81, Final model converged
[2024-06-01T00:31:29] Estimation window: 2008-08-13 - 2012-07-31, Best order: (2, 0, 3), AIC: -5256.78, Final model converged
[2024-06-01T00:32:04] Estimation window: 2008-08-14 - 2012-08-01, Best order: (2, 0, 3), AIC: -5257.03, Final model converged
[2024-06-01T00:32:38] Estimation window: 2008-08-15 - 2012-08-02, Best order: (2, 0, 3), AIC: -5256.83, Final model converged
[2024-06-01T00:33:08] Estimation window: 2008-08-18 - 2012-08-03, Best order: (3, 0, 3), AIC: -5255.17, Final model converged
[2024-06-01T00:33:37] Estimation window: 2008-08-19 - 2012-08-06, Best order: (2, 0, 3), AIC: -5257.38, Final model converged
[2024-06-01T00:34:07] Estimation window: 2008-08-20 - 2012-08-07, Best order: (2, 0, 3), AIC: -5258.34, Final model converged
[2024-06-01T00:34:37] Estimation window: 2008-08-21 - 2012-08-08, Best order: (2, 0, 3), AIC: -5259.3, Final model converged
[2024-06-01T00:35:03] Estimation window: 2008-08-22 - 2012-08-09, Best order: (2, 0, 3), AIC: -5259.34, Final model converged
[2024-06-01T00:35:34] Estimation window: 2008-08-25 - 2012-08-10, Best order: (2, 0, 3), AIC: -5259.32, Final model converged
[2024-06-01T00:36:04] Estimation window: 2008-08-26 - 2012-08-13, Best order: (3, 0, 3), AIC: -5258.58, Final model converged
[2024-06-01T00:36:34] Estimation window: 2008-08-27 - 2012-08-14, Best order: (3, 0, 3), AIC: -5258.98, Final model converged
[2024-06-01T00:37:02] Estimation window: 2008-08-28 - 2012-08-15, Best order: (3, 0, 3), AIC: -5259.09, Final model converged
[2024-06-01T00:37:31] Estimation window: 2008-08-29 - 2012-08-16, Best order: (3, 0, 3), AIC: -5259.61, Final model converged
[2024-06-01T00:38:02] Estimation window: 2008-09-02 - 2012-08-17, Best order: (3, 0, 3), AIC: -5258.51, Final model converged
[2024-06-01T00:38:36] Estimation window: 2008-09-03 - 2012-08-20, Best order: (2, 0, 3), AIC: -5261.83, Final model converged
[2024-06-01T00:39:04] Estimation window: 2008-09-04 - 2012-08-21, Best order: (2, 0, 3), AIC: -5261.9, Final model converged
[2024-06-01T00:40:08] Estimation window: 2008-09-05 - 2012-08-22, Best order: (2, 0, 3), AIC: -5263.1, Final model converged
[2024-06-01T00:40:48] Estimation window: 2008-09-08 - 2012-08-23, Best order: (3, 0, 3), AIC: -5261.27, Final model converged
[2024-06-01T00:41:20] Estimation window: 2008-09-09 - 2012-08-24, Best order: (3, 0, 3), AIC: -5261.88, Final model converged
[2024-06-01T00:41:49] Estimation window: 2008-09-10 - 2012-08-27, Best order: (4, 0, 5), AIC: -5265.01, Final model converged
[2024-06-01T00:42:15] Estimation window: 2008-09-11 - 2012-08-28, Best order: (4, 0, 5), AIC: -5265.31, Final model converged
[2024-06-01T00:42:41] Estimation window: 2008-09-12 - 2012-08-29, Best order: (4, 0, 5), AIC: -5265.49, Final model converged
[2024-06-01T00:43:04] Estimation window: 2008-09-15 - 2012-08-30, Best order: (3, 0, 3), AIC: -5263.72, Final model converged
[2024-06-01T00:43:24] Estimation window: 2008-09-16 - 2012-08-31, Best order: (3, 0, 2), AIC: -5271.86, Final model converged
[2024-06-01T00:43:49] Estimation window: 2008-09-17 - 2012-09-04, Best order: (4, 0, 5), AIC: -5272.48, Final model converged
[2024-06-01T00:44:18] Estimation window: 2008-09-18 - 2012-09-05, Best order: (4, 0, 5), AIC: -5276.93, Final model converged
[2024-06-01T00:44:41] Estimation window: 2008-09-19 - 2012-09-06, Best order: (2, 0, 3), AIC: -5284.84, Final model converged
[2024-06-01T00:45:08] Estimation window: 2008-09-22 - 2012-09-07, Best order: (2, 0, 3), AIC: -5286.78, Final model converged
[2024-06-01T00:45:27] Estimation window: 2008-09-23 - 2012-09-10, Best order: (2, 0, 3), AIC: -5292.67, Final model converged
[2024-06-01T00:45:46] Estimation window: 2008-09-24 - 2012-09-11, Best order: (1, 0, 5), AIC: -5293.01, Final model converged
[2024-06-01T00:46:05] Estimation window: 2008-09-25 - 2012-09-12, Best order: (1, 0, 5), AIC: -5293.08, Final model converged
[2024-06-01T00:46:24] Estimation window: 2008-09-26 - 2012-09-13, Best order: (2, 0, 3), AIC: -5292.57, Final model converged
[2024-06-01T00:46:44] Estimation window: 2008-09-29 - 2012-09-14, Best order: (2, 0, 3), AIC: -5292.53, Final model converged
[2024-06-01T00:47:09] Estimation window: 2008-09-30 - 2012-09-17, Best order: (5, 0, 5), AIC: -5323.45, Final model converged
[2024-06-01T00:47:32] Estimation window: 2008-10-01 - 2012-09-18, Best order: (2, 0, 3), AIC: -5333.7, Final model converged
[2024-06-01T00:47:55] Estimation window: 2008-10-02 - 2012-09-19, Best order: (2, 0, 3), AIC: -5333.61, Final model converged
[2024-06-01T00:48:17] Estimation window: 2008-10-03 - 2012-09-20, Best order: (2, 0, 3), AIC: -5342.94, Final model converged
[2024-06-01T00:48:38] Estimation window: 2008-10-06 - 2012-09-21, Best order: (2, 0, 3), AIC: -5344.84, Final model converged
