[2024-06-02T18:41:38] Estimation window: 2007-08-07 - 2011-07-25, Best order: (5, 0, 5)-(1, 1), AIC: -5.81566622006188, Final model FAILED to converge
[2024-06-02T18:41:57] Estimation window: 2007-08-08 - 2011-07-26, Best order: (4, 0, 4)-(1, 1), AIC: -5.7956540492926, Final model converged
[2024-06-02T18:42:16] Estimation window: 2007-08-09 - 2011-07-27, Best order: (3, 0, 3)-(1, 1), AIC: -5.7954184656079, Final model converged
[2024-06-02T18:42:38] Estimation window: 2007-08-10 - 2011-07-28, Best order: (4, 0, 5)-(1, 1), AIC: -5.80963537113786, Final model converged
[2024-06-02T18:42:57] Estimation window: 2007-08-13 - 2011-07-29, Best order: (5, 0, 5)-(1, 1), AIC: -5.80104083888595, Final model converged
[2024-06-02T18:43:16] Estimation window: 2007-08-14 - 2011-08-01, Best order: (4, 0, 5)-(1, 1), AIC: -5.80594887224737, Final model converged
[2024-06-02T18:43:36] Estimation window: 2007-08-15 - 2011-08-02, Best order: (4, 0, 4)-(1, 1), AIC: -5.79371005076976, Final model converged
[2024-06-02T18:43:54] Estimation window: 2007-08-16 - 2011-08-03, Best order: (4, 0, 4)-(1, 1), AIC: -5.79204477360614, Final model FAILED to converge
[2024-06-02T18:44:14] Estimation window: 2007-08-17 - 2011-08-04, Best order: (3, 0, 3)-(1, 1), AIC: -5.78362548022744, Final model converged
[2024-06-02T18:44:33] Estimation window: 2007-08-20 - 2011-08-05, Best order: (4, 0, 3)-(1, 1), AIC: -5.78326252259542, Final model FAILED to converge
[2024-06-02T18:44:51] Estimation window: 2007-08-21 - 2011-08-08, Best order: (4, 0, 4)-(1, 1), AIC: -5.76678924314474, Final model FAILED to converge
[2024-06-02T18:45:09] Estimation window: 2007-08-22 - 2011-08-09, Best order: (4, 0, 5)-(1, 1), AIC: -5.76684689737863, Final model converged
[2024-06-02T18:45:27] Estimation window: 2007-08-23 - 2011-08-10, Best order: (5, 0, 4)-(1, 1), AIC: -5.76317625799649, Final model converged
[2024-06-02T18:45:45] Estimation window: 2007-08-24 - 2011-08-11, Best order: (5, 0, 5)-(1, 1), AIC: -5.75606177386017, Final model FAILED to converge
[2024-06-02T18:46:04] Estimation window: 2007-08-27 - 2011-08-12, Best order: (3, 0, 3)-(1, 1), AIC: -5.75988891966665, Final model converged
[2024-06-02T18:46:23] Estimation window: 2007-08-28 - 2011-08-15, Best order: (4, 0, 3)-(1, 1), AIC: -5.75721233239531, Final model converged
[2024-06-02T18:46:41] Estimation window: 2007-08-29 - 2011-08-16, Best order: (3, 0, 3)-(1, 1), AIC: -5.75994079748989, Final model converged
[2024-06-02T18:46:59] Estimation window: 2007-08-30 - 2011-08-17, Best order: (5, 0, 5)-(1, 1), AIC: -5.75960696848006, Final model FAILED to converge
[2024-06-02T18:47:19] Estimation window: 2007-08-31 - 2011-08-18, Best order: (2, 0, 4)-(1, 1), AIC: -5.75409425667653, Final model converged
[2024-06-02T18:47:36] Estimation window: 2007-09-04 - 2011-08-19, Best order: (4, 0, 5)-(1, 1), AIC: -5.75258995955551, Final model converged
[2024-06-02T18:47:53] Estimation window: 2007-09-05 - 2011-08-22, Best order: (5, 0, 4)-(1, 1), AIC: -5.76072145588526, Final model converged
[2024-06-02T18:48:13] Estimation window: 2007-09-06 - 2011-08-23, Best order: (4, 0, 2)-(1, 1), AIC: -5.75933450747112, Final model converged
[2024-06-02T18:48:30] Estimation window: 2007-09-07 - 2011-08-24, Best order: (1, 0, 1)-(1, 1), AIC: -5.7479131090016, Final model converged
[2024-06-02T18:48:47] Estimation window: 2007-09-10 - 2011-08-25, Best order: (4, 0, 3)-(1, 1), AIC: -5.74334321774387, Final model converged
[2024-06-02T18:49:17] Estimation window: 2007-09-11 - 2011-08-26, Best order: (3, 0, 4)-(1, 1), AIC: -5.74226479832907, Final model converged
[2024-06-02T18:49:34] Estimation window: 2007-09-12 - 2011-08-29, Best order: (1, 0, 1)-(1, 1), AIC: -5.74441955285737, Final model converged
[2024-06-02T18:49:52] Estimation window: 2007-09-13 - 2011-08-30, Best order: (1, 0, 1)-(1, 1), AIC: -5.74306206218698, Final model converged
[2024-06-02T18:50:10] Estimation window: 2007-09-14 - 2011-08-31, Best order: (5, 0, 5)-(1, 1), AIC: -5.74534028436078, Final model converged
[2024-06-02T18:50:27] Estimation window: 2007-09-17 - 2011-09-01, Best order: (1, 0, 1)-(1, 1), AIC: -5.74083086311921, Final model converged
