[2024-06-02T04:38:48] Estimation window: 2008-04-18 - 2012-04-04, Best order: (1, 0, 1)-(1, 1), AIC: -5.7947181376653, Final model converged
[2024-06-02T04:39:08] Estimation window: 2008-04-21 - 2012-04-05, Best order: (2, 0, 4)-(1, 1), AIC: -5.79060312121217, Final model converged
[2024-06-02T04:39:29] Estimation window: 2008-04-22 - 2012-04-09, Best order: (3, 0, 3)-(1, 1), AIC: -5.79306075016947, Final model converged
[2024-06-02T04:39:49] Estimation window: 2008-04-23 - 2012-04-10, Best order: (5, 0, 5)-(1, 1), AIC: -5.7983945766446, Final model converged
[2024-06-02T04:40:09] Estimation window: 2008-04-24 - 2012-04-11, Best order: (3, 0, 3)-(1, 1), AIC: -5.79104544540242, Final model converged
[2024-06-02T04:40:32] Estimation window: 2008-04-25 - 2012-04-12, Best order: (3, 0, 3)-(1, 1), AIC: -5.78289539063605, Final model converged
[2024-06-02T04:40:53] Estimation window: 2008-04-28 - 2012-04-13, Best order: (5, 0, 5)-(1, 1), AIC: -5.79131543682472, Final model converged
[2024-06-02T04:41:14] Estimation window: 2008-04-29 - 2012-04-16, Best order: (5, 0, 5)-(1, 1), AIC: -5.79663296144998, Final model converged
[2024-06-02T04:41:40] Estimation window: 2008-04-30 - 2012-04-17, Best order: (1, 0, 1)-(1, 1), AIC: -5.78148854820919, Final model converged
[2024-06-02T04:42:10] Estimation window: 2008-05-01 - 2012-04-18, Best order: (4, 0, 5)-(1, 1), AIC: -5.78739062383476, Final model converged
[2024-06-02T04:42:30] Estimation window: 2008-05-02 - 2012-04-19, Best order: (1, 0, 1)-(1, 1), AIC: -5.79003241319438, Final model converged
[2024-06-02T04:42:50] Estimation window: 2008-05-05 - 2012-04-20, Best order: (2, 0, 2)-(1, 1), AIC: -5.7864710749782, Final model converged
[2024-06-02T04:43:12] Estimation window: 2008-05-06 - 2012-04-23, Best order: (4, 0, 5)-(1, 1), AIC: -5.80326436373914, Final model converged
[2024-06-02T04:43:42] Estimation window: 2008-05-07 - 2012-04-24, Best order: (4, 0, 5)-(1, 1), AIC: -5.78932977816768, Final model converged
[2024-06-02T04:44:03] Estimation window: 2008-05-08 - 2012-04-25, Best order: (4, 0, 5)-(1, 1), AIC: -5.78197245620891, Final model converged
[2024-06-02T04:44:24] Estimation window: 2008-05-09 - 2012-04-26, Best order: (4, 0, 2)-(1, 1), AIC: -5.78648583816875, Final model FAILED to converge
[2024-06-02T04:44:58] Estimation window: 2008-05-12 - 2012-04-27, Best order: (4, 0, 4)-(1, 1), AIC: -5.78849505424334, Final model converged
[2024-06-02T04:45:32] Estimation window: 2008-05-13 - 2012-04-30, Best order: (3, 0, 3)-(1, 1), AIC: -5.79160974885129, Final model converged
[2024-06-02T04:46:10] Estimation window: 2008-05-14 - 2012-05-01, Best order: (3, 0, 4)-(1, 1), AIC: -5.78802002353956, Final model converged
[2024-06-02T04:46:31] Estimation window: 2008-05-15 - 2012-05-02, Best order: (3, 0, 3)-(1, 1), AIC: -5.7949383178836, Final model converged
[2024-06-02T04:46:54] Estimation window: 2008-05-16 - 2012-05-03, Best order: (5, 0, 4)-(1, 1), AIC: -5.81208118394596, Final model converged
[2024-06-02T04:47:28] Estimation window: 2008-05-19 - 2012-05-04, Best order: (4, 0, 5)-(1, 1), AIC: -5.7979365882209, Final model converged
[2024-06-02T04:47:49] Estimation window: 2008-05-20 - 2012-05-07, Best order: (2, 0, 2)-(1, 1), AIC: -5.78994557028479, Final model converged
[2024-06-02T04:48:10] Estimation window: 2008-05-21 - 2012-05-08, Best order: (2, 0, 2)-(1, 1), AIC: -5.7910792900244, Final model converged
[2024-06-02T04:48:31] Estimation window: 2008-05-22 - 2012-05-09, Best order: (5, 0, 4)-(1, 1), AIC: -5.7939006619491, Final model converged
[2024-06-02T04:48:53] Estimation window: 2008-05-23 - 2012-05-10, Best order: (4, 0, 4)-(1, 1), AIC: -5.7933709435618, Final model FAILED to converge
[2024-06-02T04:49:14] Estimation window: 2008-05-27 - 2012-05-11, Best order: (4, 0, 4)-(1, 1), AIC: -5.79522321389012, Final model converged
[2024-06-02T04:49:35] Estimation window: 2008-05-28 - 2012-05-14, Best order: (4, 0, 2)-(1, 1), AIC: -5.79342598326406, Final model converged
[2024-06-02T04:49:57] Estimation window: 2008-05-29 - 2012-05-15, Best order: (4, 0, 5)-(1, 1), AIC: -5.80149641603332, Final model converged
[2024-06-02T04:50:25] Estimation window: 2008-05-30 - 2012-05-16, Best order: (5, 0, 5)-(1, 1), AIC: -5.80788775721679, Final model converged
[2024-06-02T04:50:48] Estimation window: 2008-06-02 - 2012-05-17, Best order: (4, 0, 5)-(1, 1), AIC: -5.80533868047479, Final model converged
[2024-06-02T04:51:09] Estimation window: 2008-06-03 - 2012-05-18, Best order: (2, 0, 3)-(1, 1), AIC: -5.80508853926783, Final model converged
[2024-06-02T04:51:30] Estimation window: 2008-06-04 - 2012-05-21, Best order: (5, 0, 4)-(1, 1), AIC: -5.79553193987965, Final model converged
[2024-06-02T04:51:51] Estimation window: 2008-06-05 - 2012-05-22, Best order: (4, 0, 2)-(1, 1), AIC: -5.81018754891463, Final model converged
[2024-06-02T04:52:25] Estimation window: 2008-06-06 - 2012-05-23, Best order: (4, 0, 4)-(1, 1), AIC: -5.79616084473755, Final model converged
[2024-06-02T04:52:52] Estimation window: 2008-06-09 - 2012-05-24, Best order: (4, 0, 2)-(1, 1), AIC: -5.80651571248486, Final model FAILED to converge
[2024-06-02T04:53:14] Estimation window: 2008-06-10 - 2012-05-25, Best order: (4, 0, 4)-(1, 1), AIC: -5.819448881435, Final model converged
[2024-06-02T04:53:48] Estimation window: 2008-06-11 - 2012-05-29, Best order: (3, 0, 3)-(1, 1), AIC: -5.80747055506794, Final model converged
[2024-06-02T04:54:09] Estimation window: 2008-06-12 - 2012-05-30, Best order: (3, 0, 3)-(1, 1), AIC: -5.80694549477512, Final model converged
[2024-06-02T04:54:29] Estimation window: 2008-06-13 - 2012-05-31, Best order: (3, 0, 3)-(1, 1), AIC: -5.80807591171144, Final model converged
[2024-06-02T04:54:50] Estimation window: 2008-06-16 - 2012-06-01, Best order: (3, 0, 3)-(1, 1), AIC: -5.8027671885824, Final model converged
[2024-06-02T04:55:27] Estimation window: 2008-06-17 - 2012-06-04, Best order: (4, 0, 2)-(1, 1), AIC: -5.80275503202496, Final model FAILED to converge
[2024-06-02T04:55:49] Estimation window: 2008-06-18 - 2012-06-05, Best order: (2, 0, 2)-(1, 1), AIC: -5.79806403957343, Final model converged
[2024-06-02T04:56:10] Estimation window: 2008-06-19 - 2012-06-06, Best order: (4, 0, 4)-(1, 1), AIC: -5.79985293893781, Final model converged
[2024-06-02T04:56:49] Estimation window: 2008-06-20 - 2012-06-07, Best order: (2, 0, 4)-(1, 1), AIC: -5.80193073518512, Final model converged
[2024-06-02T04:57:10] Estimation window: 2008-06-23 - 2012-06-08, Best order: (3, 0, 3)-(1, 1), AIC: -5.79887184033082, Final model converged
[2024-06-02T04:57:31] Estimation window: 2008-06-24 - 2012-06-11, Best order: (2, 0, 2)-(1, 1), AIC: -5.79721155986681, Final model converged
[2024-06-02T04:57:51] Estimation window: 2008-06-25 - 2012-06-12, Best order: (3, 0, 3)-(1, 1), AIC: -5.8033043043344, Final model converged
[2024-06-02T04:58:12] Estimation window: 2008-06-26 - 2012-06-13, Best order: (5, 0, 4)-(1, 1), AIC: -5.80230976569289, Final model converged
[2024-06-02T04:58:33] Estimation window: 2008-06-27 - 2012-06-14, Best order: (3, 0, 4)-(1, 1), AIC: -5.80562543803909, Final model converged
[2024-06-02T04:58:54] Estimation window: 2008-06-30 - 2012-06-15, Best order: (3, 0, 3)-(1, 1), AIC: -5.80693790377775, Final model converged
[2024-06-02T04:59:16] Estimation window: 2008-07-01 - 2012-06-18, Best order: (3, 0, 4)-(1, 1), AIC: -5.80665324075747, Final model converged
[2024-06-02T04:59:41] Estimation window: 2008-07-02 - 2012-06-19, Best order: (4, 0, 3)-(1, 1), AIC: -5.80665316720224, Final model converged
[2024-06-02T05:00:02] Estimation window: 2008-07-03 - 2012-06-20, Best order: (5, 0, 5)-(1, 1), AIC: -5.80380901076408, Final model converged
[2024-06-02T05:00:24] Estimation window: 2008-07-07 - 2012-06-21, Best order: (4, 0, 5)-(1, 1), AIC: -5.80492813611599, Final model FAILED to converge
[2024-06-02T05:00:46] Estimation window: 2008-07-08 - 2012-06-22, Best order: (5, 0, 5)-(1, 1), AIC: -5.80545027421564, Final model converged
[2024-06-02T05:01:07] Estimation window: 2008-07-09 - 2012-06-25, Best order: (5, 0, 5)-(1, 1), AIC: -5.80605002100297, Final model converged
[2024-06-02T05:01:28] Estimation window: 2008-07-10 - 2012-06-26, Best order: (4, 0, 5)-(1, 1), AIC: -5.81558904115898, Final model converged
[2024-06-02T05:02:05] Estimation window: 2008-07-11 - 2012-06-27, Best order: (5, 0, 3)-(1, 1), AIC: -5.80503962701696, Final model converged
[2024-06-02T05:02:26] Estimation window: 2008-07-14 - 2012-06-28, Best order: (5, 0, 5)-(1, 1), AIC: -5.82354925280392, Final model converged
[2024-06-02T05:02:48] Estimation window: 2008-07-15 - 2012-06-29, Best order: (5, 0, 3)-(1, 1), AIC: -5.8084486425558, Final model converged
[2024-06-02T05:03:09] Estimation window: 2008-07-16 - 2012-07-02, Best order: (2, 0, 4)-(1, 1), AIC: -5.81086663471312, Final model converged
[2024-06-02T05:03:30] Estimation window: 2008-07-17 - 2012-07-03, Best order: (4, 0, 5)-(1, 1), AIC: -5.81062850362651, Final model converged
[2024-06-02T05:03:51] Estimation window: 2008-07-18 - 2012-07-05, Best order: (1, 0, 1)-(1, 1), AIC: -5.80863305696577, Final model converged
[2024-06-02T05:04:13] Estimation window: 2008-07-21 - 2012-07-06, Best order: (3, 0, 3)-(1, 1), AIC: -5.81787570206077, Final model converged
[2024-06-02T05:05:02] Estimation window: 2008-07-22 - 2012-07-09, Best order: (3, 0, 3)-(1, 1), AIC: -5.80993611546536, Final model converged
[2024-06-02T05:05:22] Estimation window: 2008-07-23 - 2012-07-10, Best order: (4, 0, 4)-(1, 1), AIC: -5.80818091915267, Final model converged
