[2024-06-02T05:02:02] Estimation window: 2009-09-10 - 2013-08-29, Best order: (5, 0, 5)-(1, 1), AIC: -6.44242673656734, Final model converged
[2024-06-02T05:02:24] Estimation window: 2009-09-11 - 2013-08-30, Best order: (4, 0, 4)-(1, 1), AIC: -6.4509848713402, Final model FAILED to converge
[2024-06-02T05:02:48] Estimation window: 2009-09-14 - 2013-09-03, Best order: (3, 0, 4)-(1, 1), AIC: -6.44020413893233, Final model converged
[2024-06-02T05:03:10] Estimation window: 2009-09-15 - 2013-09-04, Best order: (4, 0, 5)-(1, 1), AIC: -6.44503462509965, Final model converged
[2024-06-02T05:03:32] Estimation window: 2009-09-16 - 2013-09-05, Best order: (5, 0, 4)-(1, 1), AIC: -6.45342832402629, Final model converged
[2024-06-02T05:03:54] Estimation window: 2009-09-17 - 2013-09-06, Best order: (4, 0, 3)-(1, 1), AIC: -6.46750640068071, Final model converged
[2024-06-02T05:04:23] Estimation window: 2009-09-18 - 2013-09-09, Best order: (5, 0, 5)-(1, 1), AIC: -6.47023534966811, Final model FAILED to converge
[2024-06-02T05:04:46] Estimation window: 2009-09-21 - 2013-09-10, Best order: (5, 0, 5)-(1, 1), AIC: -6.46747689000921, Final model converged
[2024-06-02T05:05:13] Estimation window: 2009-09-22 - 2013-09-11, Best order: (4, 0, 3)-(1, 1), AIC: -6.46301968183743, Final model FAILED to converge
[2024-06-02T05:05:35] Estimation window: 2009-09-23 - 2013-09-12, Best order: (3, 0, 4)-(1, 1), AIC: -6.46919780882866, Final model converged
[2024-06-02T05:05:57] Estimation window: 2009-09-24 - 2013-09-13, Best order: (5, 0, 5)-(1, 1), AIC: -6.45820893082183, Final model converged
[2024-06-02T05:06:20] Estimation window: 2009-09-25 - 2013-09-16, Best order: (3, 0, 3)-(1, 1), AIC: -6.46538273844658, Final model converged
[2024-06-02T05:06:42] Estimation window: 2009-09-28 - 2013-09-17, Best order: (4, 0, 4)-(1, 1), AIC: -6.47042785291331, Final model converged
[2024-06-02T05:07:05] Estimation window: 2009-09-29 - 2013-09-18, Best order: (5, 0, 3)-(1, 1), AIC: -6.46740234499099, Final model converged
[2024-06-02T05:07:38] Estimation window: 2009-09-30 - 2013-09-19, Best order: (4, 0, 5)-(1, 1), AIC: -6.45749925685648, Final model converged
[2024-06-02T05:08:02] Estimation window: 2009-10-01 - 2013-09-20, Best order: (3, 0, 4)-(1, 1), AIC: -6.47527447280949, Final model converged
[2024-06-02T05:08:24] Estimation window: 2009-10-02 - 2013-09-23, Best order: (5, 0, 5)-(1, 1), AIC: -6.46098249478437, Final model converged
[2024-06-02T05:08:46] Estimation window: 2009-10-05 - 2013-09-24, Best order: (5, 0, 5)-(1, 1), AIC: -6.46719791840653, Final model converged
[2024-06-02T05:09:09] Estimation window: 2009-10-06 - 2013-09-25, Best order: (4, 0, 4)-(1, 1), AIC: -6.47373295247923, Final model converged
