[2024-06-02T03:10:29] Estimation window: 2007-08-07 - 2011-07-25, Best order: (2, 0, 4)-(1, 1), AIC: -5.80057528716504, Final model converged
[2024-06-02T03:10:40] Estimation window: 2007-08-08 - 2011-07-26, Best order: (3, 0, 3)-(1, 1), AIC: -5.79987675609119, Final model converged
[2024-06-02T03:10:58] Estimation window: 2007-08-09 - 2011-07-27, Best order: (4, 0, 4)-(1, 1), AIC: -5.79252745002552, Final model converged
[2024-06-02T03:11:10] Estimation window: 2007-08-10 - 2011-07-28, Best order: (5, 0, 3)-(1, 1), AIC: -5.81221636143327, Final model converged
[2024-06-02T03:11:21] Estimation window: 2007-08-13 - 2011-07-29, Best order: (4, 0, 5)-(1, 1), AIC: -5.80028420890349, Final model converged
[2024-06-02T03:11:49] Estimation window: 2007-08-14 - 2011-08-01, Best order: (3, 0, 5)-(1, 1), AIC: 610.694438696272, Final model converged
[2024-06-02T03:12:00] Estimation window: 2007-08-15 - 2011-08-02, Best order: (5, 0, 3)-(1, 1), AIC: -5.81106392484079, Final model converged
[2024-06-02T03:12:12] Estimation window: 2007-08-16 - 2011-08-03, Best order: (4, 0, 5)-(1, 1), AIC: -5.82195351485204, Final model FAILED to converge
[2024-06-02T03:12:23] Estimation window: 2007-08-17 - 2011-08-04, Best order: (5, 0, 5)-(1, 1), AIC: -5.78346042175492, Final model FAILED to converge
[2024-06-02T03:12:41] Estimation window: 2007-08-20 - 2011-08-05, Best order: (4, 0, 3)-(1, 1), AIC: -5.78326252259542, Final model FAILED to converge
[2024-06-02T03:12:57] Estimation window: 2007-08-21 - 2011-08-08, Best order: (3, 0, 3)-(1, 1), AIC: -5.76235052515475, Final model converged
[2024-06-02T03:13:09] Estimation window: 2007-08-22 - 2011-08-09, Best order: (4, 0, 5)-(1, 1), AIC: -5.76684689737863, Final model converged
[2024-06-02T03:13:21] Estimation window: 2007-08-23 - 2011-08-10, Best order: (3, 0, 3)-(1, 1), AIC: -5.76394724433563, Final model converged
[2024-06-02T03:13:32] Estimation window: 2007-08-24 - 2011-08-11, Best order: (5, 0, 5)-(1, 1), AIC: -5.75606177386017, Final model FAILED to converge
[2024-06-02T03:13:49] Estimation window: 2007-08-27 - 2011-08-12, Best order: (5, 0, 2)-(1, 1), AIC: -5.75864309287863, Final model converged
[2024-06-02T03:14:00] Estimation window: 2007-08-28 - 2011-08-15, Best order: (3, 0, 3)-(1, 1), AIC: -5.77128551638631, Final model converged
[2024-06-02T03:14:11] Estimation window: 2007-08-29 - 2011-08-16, Best order: (5, 0, 2)-(1, 1), AIC: -5.77714047087748, Final model converged
[2024-06-02T03:14:23] Estimation window: 2007-08-30 - 2011-08-17, Best order: (4, 0, 5)-(1, 1), AIC: -5.76669958316293, Final model FAILED to converge
[2024-06-02T03:14:40] Estimation window: 2007-08-31 - 2011-08-18, Best order: (5, 0, 5)-(1, 1), AIC: -5.76792443840912, Final model FAILED to converge
[2024-06-02T03:14:51] Estimation window: 2007-09-04 - 2011-08-19, Best order: (1, 0, 1)-(1, 1), AIC: -5.75296114156578, Final model converged
[2024-06-02T03:15:01] Estimation window: 2007-09-05 - 2011-08-22, Best order: (1, 0, 1)-(1, 1), AIC: -5.75174375178666, Final model converged
[2024-06-02T03:15:18] Estimation window: 2007-09-06 - 2011-08-23, Best order: (5, 0, 5)-(1, 1), AIC: -5.75539543877862, Final model converged
[2024-06-02T03:15:30] Estimation window: 2007-09-07 - 2011-08-24, Best order: (5, 0, 5)-(1, 1), AIC: -5.74267662422083, Final model FAILED to converge
[2024-06-02T03:15:41] Estimation window: 2007-09-10 - 2011-08-25, Best order: (3, 0, 3)-(1, 1), AIC: -5.74833157353844, Final model converged
[2024-06-02T03:15:51] Estimation window: 2007-09-11 - 2011-08-26, Best order: (1, 0, 1)-(1, 1), AIC: -5.74613086676154, Final model converged
[2024-06-02T03:16:12] Estimation window: 2007-09-12 - 2011-08-29, Best order: (1, 0, 1)-(1, 1), AIC: -5.74441955285737, Final model converged
[2024-06-02T03:16:23] Estimation window: 2007-09-13 - 2011-08-30, Best order: (2, 0, 3)-(1, 1), AIC: -5.74675749763535, Final model converged
[2024-06-02T03:16:34] Estimation window: 2007-09-14 - 2011-08-31, Best order: (4, 0, 3)-(1, 1), AIC: -5.74334920587375, Final model converged
[2024-06-02T03:16:45] Estimation window: 2007-09-17 - 2011-09-01, Best order: (4, 0, 4)-(1, 1), AIC: -5.73548566132893, Final model converged
[2024-06-02T03:16:56] Estimation window: 2007-09-18 - 2011-09-02, Best order: (5, 0, 5)-(1, 1), AIC: -5.7323663625843, Final model converged
[2024-06-02T03:17:06] Estimation window: 2007-09-19 - 2011-09-06, Best order: (1, 0, 1)-(1, 1), AIC: -5.74173175123498, Final model converged
[2024-06-02T03:17:17] Estimation window: 2007-09-20 - 2011-09-07, Best order: (1, 0, 1)-(1, 1), AIC: -5.73907458540786, Final model converged
[2024-06-02T03:17:29] Estimation window: 2007-09-21 - 2011-09-08, Best order: (1, 0, 1)-(1, 1), AIC: -5.73789964868362, Final model converged
[2024-06-02T03:17:40] Estimation window: 2007-09-24 - 2011-09-09, Best order: (2, 0, 2)-(1, 1), AIC: -5.73097716034483, Final model converged
[2024-06-02T03:17:52] Estimation window: 2007-09-25 - 2011-09-12, Best order: (1, 0, 1)-(1, 1), AIC: -5.73391887669593, Final model converged
[2024-06-02T03:18:03] Estimation window: 2007-09-26 - 2011-09-13, Best order: (4, 0, 5)-(1, 1), AIC: -5.72924025434076, Final model converged
[2024-06-02T03:18:14] Estimation window: 2007-09-27 - 2011-09-14, Best order: (5, 0, 5)-(1, 1), AIC: -5.72949643626383, Final model converged
[2024-06-02T03:18:25] Estimation window: 2007-09-28 - 2011-09-15, Best order: (1, 0, 1)-(1, 1), AIC: -5.72984905340115, Final model converged
[2024-06-02T03:18:36] Estimation window: 2007-10-01 - 2011-09-16, Best order: (3, 0, 3)-(1, 1), AIC: -5.73083511783442, Final model converged
[2024-06-02T03:18:47] Estimation window: 2007-10-02 - 2011-09-19, Best order: (5, 0, 5)-(1, 1), AIC: -5.72487870405218, Final model converged
[2024-06-02T03:18:58] Estimation window: 2007-10-03 - 2011-09-20, Best order: (1, 0, 1)-(1, 1), AIC: -5.72840724751386, Final model converged
[2024-06-02T03:19:09] Estimation window: 2007-10-04 - 2011-09-21, Best order: (5, 0, 5)-(1, 1), AIC: -5.72032671698823, Final model converged
[2024-06-02T03:19:20] Estimation window: 2007-10-05 - 2011-09-22, Best order: (5, 0, 5)-(1, 1), AIC: -5.71522758421237, Final model converged
