[2024-06-01T14:29:38] Estimation window: 2011-08-01 - 2013-07-26, Best order: (5, 0, 5)-(1, 1), AIC: -6.45252498993844, Final model converged
[2024-06-01T14:29:52] Estimation window: 2011-08-02 - 2013-07-29, Best order: (2, 0, 2)-(1, 1), AIC: -6.42993828426657, Final model converged
[2024-06-01T14:30:03] Estimation window: 2011-08-03 - 2013-07-30, Best order: (1, 0, 0)-(1, 1), AIC: -6.43285618483033, Final model converged
[2024-06-01T14:30:15] Estimation window: 2011-08-04 - 2013-07-31, Best order: (1, 0, 1)-(1, 1), AIC: -6.44509670011148, Final model converged
[2024-06-01T14:30:28] Estimation window: 2011-08-05 - 2013-08-01, Best order: (5, 0, 5)-(1, 1), AIC: -6.38353127200553, Final model converged
[2024-06-01T14:30:40] Estimation window: 2011-08-08 - 2013-08-02, Best order: (1, 0, 0)-(1, 1), AIC: -6.4300117122934, Final model converged
[2024-06-01T14:30:58] Estimation window: 2011-08-09 - 2013-08-05, Best order: (4, 0, 3)-(1, 1), AIC: -6.41040668517703, Final model converged
[2024-06-01T14:31:09] Estimation window: 2011-08-10 - 2013-08-06, Best order: (3, 0, 4)-(1, 1), AIC: -6.44384637427048, Final model converged
[2024-06-01T14:31:21] Estimation window: 2011-08-11 - 2013-08-07, Best order: (3, 0, 5)-(1, 1), AIC: -6.48754904395442, Final model converged
[2024-06-01T14:31:32] Estimation window: 2011-08-12 - 2013-08-08, Best order: (4, 0, 5)-(1, 1), AIC: -6.53619030561391, Final model converged
[2024-06-01T14:31:44] Estimation window: 2011-08-15 - 2013-08-09, Best order: (5, 0, 4)-(1, 1), AIC: -6.54444750424727, Final model converged
[2024-06-01T14:31:57] Estimation window: 2011-08-16 - 2013-08-12, Best order: (5, 0, 5)-(1, 1), AIC: -6.54747165655415, Final model converged
[2024-06-01T14:32:10] Estimation window: 2011-08-17 - 2013-08-13, Best order: (3, 0, 4)-(1, 1), AIC: -6.55547572192514, Final model converged
[2024-06-01T14:32:28] Estimation window: 2011-08-18 - 2013-08-14, Best order: (3, 0, 5)-(1, 1), AIC: -6.55222461528469, Final model converged
[2024-06-01T14:32:40] Estimation window: 2011-08-19 - 2013-08-15, Best order: (5, 0, 2)-(1, 1), AIC: -6.52979064318359, Final model converged
[2024-06-01T14:32:52] Estimation window: 2011-08-22 - 2013-08-16, Best order: (5, 0, 4)-(1, 1), AIC: -6.56926521757646, Final model converged
[2024-06-01T14:33:05] Estimation window: 2011-08-23 - 2013-08-19, Best order: (3, 0, 2)-(1, 1), AIC: -6.54319843245141, Final model converged
[2024-06-01T14:33:18] Estimation window: 2011-08-24 - 2013-08-20, Best order: (4, 0, 4)-(1, 1), AIC: -6.55791648294551, Final model converged
[2024-06-01T14:33:30] Estimation window: 2011-08-25 - 2013-08-21, Best order: (3, 0, 4)-(1, 1), AIC: -6.55343472601611, Final model converged
[2024-06-01T14:33:41] Estimation window: 2011-08-26 - 2013-08-22, Best order: (4, 0, 3)-(1, 1), AIC: -6.56096958630133, Final model converged
[2024-06-01T14:33:54] Estimation window: 2011-08-29 - 2013-08-23, Best order: (3, 0, 5)-(1, 1), AIC: -6.56238573015753, Final model converged
[2024-06-01T14:34:11] Estimation window: 2011-08-30 - 2013-08-26, Best order: (4, 0, 3)-(1, 1), AIC: -6.57980281500581, Final model converged
[2024-06-01T14:34:32] Estimation window: 2011-08-31 - 2013-08-27, Best order: (5, 0, 5)-(1, 1), AIC: -6.58867576865368, Final model converged
[2024-06-01T14:34:45] Estimation window: 2011-09-01 - 2013-08-28, Best order: (1, 0, 2)-(1, 1), AIC: -6.57639768273452, Final model converged
[2024-06-01T14:34:57] Estimation window: 2011-09-02 - 2013-08-29, Best order: (1, 0, 2)-(1, 1), AIC: -6.57456720504953, Final model converged
[2024-06-01T14:35:15] Estimation window: 2011-09-06 - 2013-08-30, Best order: (4, 0, 5)-(1, 1), AIC: -6.57778304598229, Final model converged
[2024-06-01T14:35:26] Estimation window: 2011-09-07 - 2013-09-03, Best order: (4, 0, 2)-(1, 1), AIC: -6.58244867204047, Final model converged
[2024-06-01T14:35:38] Estimation window: 2011-09-08 - 2013-09-04, Best order: (4, 0, 4)-(1, 1), AIC: -6.65898618603006, Final model FAILED to converge
[2024-06-01T14:35:52] Estimation window: 2011-09-09 - 2013-09-05, Best order: (3, 0, 5)-(1, 1), AIC: -6.59909934995101, Final model converged
[2024-06-01T14:36:08] Estimation window: 2011-09-12 - 2013-09-06, Best order: (5, 0, 4)-(1, 1), AIC: -6.62560670472123, Final model FAILED to converge
